番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,920374,691893198,,,,,,1023.440,630.616,626.367,-894.694,6494.885,,Both,990.695,707.109,20.998,-114.317,450.000,0.103854,-0.116007,0.987804,-33.000,-54.000,-63.600,7.221,212.734,204.328,57.188,54.422,168.859,Auto,205.047,210.047,1590,10,320,240,1.000,,Both,1077.938,718.019,80.680,-121.780,450.000,0.091649,-0.130286,0.987232,33.000,-54.000,-63.600,6.666,229.719,131.734,52.797,49.547,161.734,Auto,224.406,137.359,10,10,320,240,1.000
2,920375,691893948,,,,,,1024.200,630.932,742.949,-1052.298,7612.473,,Both,990.898,708.979,21.137,-115.596,450.000,0.104088,-0.118429,0.987492,-33.000,-54.000,-63.600,7.175,212.844,204.406,56.828,54.422,166.953,Auto,205.172,210.047,1590,10,320,240,0.000,,Both,1079.227,719.060,81.561,-122.492,450.000,0.093312,-0.131609,0.986900,33.000,-54.000,-63.600,6.645,229.594,131.781,52.641,49.469,163.688,Auto,224.359,137.359,10,10,320,240,0.000
3,920376,691894698,,,,,,1021.877,635.211,345.905,-532.249,3677.333,,Both,992.244,704.533,22.058,-112.554,450.000,0.105911,-0.112637,0.987976,-33.000,-54.000,-63.600,7.264,212.984,204.141,57.531,54.500,171.125,Auto,205.391,210.000,1590,10,320,240,1.000,,Both,1073.948,719.639,77.950,-122.888,450.000,0.086419,-0.132440,0.987417,33.000,-54.000,-63.600,6.490,229.859,131.781,51.406,47.609,167.359,Auto,224.313,137.344,10,10,320,240,1.000
4,920377,691895448,,,,,,1025.006,630.089,709.777,-983.655,7182.481,,Both,992.305,706.851,22.099,-114.140,450.000,0.105952,-0.115645,0.987624,-33.000,-54.000,-63.600,7.245,213.172,204.203,57.391,54.875,167.672,Auto,205.594,209.953,1590,10,320,240,0.000,,Both,1080.040,717.939,82.117,-121.725,450.000,0.094389,-0.130149,0.986991,33.000,-54.000,-63.600,6.670,229.578,131.656,52.828,49.375,162.766,Auto,224.391,137.281,10,10,320,240,0.000
5,920378,691896198,,,,,,1022.339,635.475,336.396,-515.204,3549.709,,Both,991.498,707.775,21.547,-114.772,450.000,0.104888,-0.116858,0.987594,-33.000,-54.000,-63.600,7.279,213.406,204.219,57.656,55.031,166.484,Auto,205.781,209.922,1590,10,320,240,1.000,,Both,1073.728,718.734,77.800,-122.269,450.000,0.086145,-0.131274,0.987596,33.000,-54.000,-63.600,6.522,230.172,131.641,51.656,48.641,162.859,Auto,224.594,137.234,10,10,320,240,1.000
6,920379,691896948,,,,,,1015.050,631.563,571.211,-950.076,6825.649,,Both,981.415,707.943,14.650,-114.887,450.000,0.091742,-0.117229,0.988858,-33.000,-54.000,-63.600,7.244,214.125,204.375,57.375,54.813,168.016,Auto,205.875,210.000,1590,10,320,240,0.000,,Both,1068.595,719.383,74.288,-122.713,450.000,0.079428,-0.132186,0.988037,33.000,-54.000,-63.600,6.657,230.953,131.609,52.734,49.172,163.859,Auto,225.063,137.188,10,10,320,240,0.000
7,920380,691897698,,,,,,1014.735,627.512,864.052,-1381.469,10384.310,,Both,980.761,704.099,14.202,-112.258,450.000,0.090940,-0.112240,0.989511,-33.000,-54.000,-63.600,7.340,214.375,204.281,58.141,55.359,169.094,Auto,206.078,210.078,1590,10,320,240,1.000,,Both,1071.238,719.678,76.096,-122.914,450.000,0.082878,-0.132530,0.987708,33.000,-54.000,-63.600,6.598,231.047,131.547,52.266,48.750,164.094,Auto,225.328,137.109,10,10,320,240,1.000
8,920381,691898448,,,,,,1014.767,628.930,832.460,-1351.735,9998.766,,Both,982.025,702.910,15.067,-111.444,450.000,0.092608,-0.110675,0.989533,-33.000,-54.000,-63.600,7.373,214.422,204.203,58.406,55.172,167.000,Auto,206.203,210.063,1590,10,320,240,0.000,,Both,1070.568,720.143,75.638,-123.233,450.000,0.081996,-0.133141,0.987699,33.000,-54.000,-63.600,6.654,230.906,131.516,52.703,49.266,161.016,Auto,225.125,137.063,10,10,320,240,0.000
9,920382,691899198,,,,,,1014.365,631.692,803.439,-1355.072,9721.576,,Both,982.731,703.372,15.550,-111.760,450.000,0.093525,-0.111267,0.989380,-33.000,-54.000,-63.600,7.335,214.484,204.109,58.094,55.172,167.188,Auto,206.313,209.953,1590,10,320,240,1.000,,Both,1069.195,721.791,74.698,-124.360,450.000,0.080178,-0.135290,0.987557,33.000,-54.000,-63.600,6.616,230.734,131.516,52.406,49.016,162.031,Auto,224.875,136.984,10,10,320,240,1.000
10,920383,691899948,,,,,,1015.088,631.419,831.192,-1379.369,9925.434,,Both,982.827,704.674,15.615,-112.651,450.000,0.093631,-0.112959,0.989178,-33.000,-54.000,-63.600,7.343,214.453,204.141,58.156,55.109,167.766,Auto,206.281,209.922,1590,10,320,240,0.000,,Both,1070.032,721.504,75.271,-124.164,450.000,0.081276,-0.134907,0.987519,33.000,-54.000,-63.600,6.639,230.859,131.469,52.578,49.000,165.078,Auto,225.047,136.953,10,10,320,240,0.000
11,920384,691900698,,,,,,1015.553,629.721,859.520,-1388.180,10177.780,,Both,982.521,704.652,15.406,-112.636,450.000,0.093233,-0.112935,0.989219,-33.000,-54.000,-63.600,7.318,214.344,204.172,57.969,55.031,167.000,Auto,206.156,209.953,1590,10,320,240,1.000,,Both,1070.727,719.842,75.747,-123.027,450.000,0.082209,-0.132750,0.987734,33.000,-54.000,-63.600,6.649,231.016,131.406,52.656,49.063,162.766,Auto,225.250,136.953,10,10,320,240,1.000
12,920385,691901448,,,,,,1015.484,627.382,856.250,-1348.512,10151.674,,Both,982.048,702.938,15.082,-111.463,450.000,0.092638,-0.110711,0.989526,-33.000,-54.000,-63.600,7.436,214.297,204.063,58.891,55.375,169.859,Auto,206.078,209.922,1590,10,320,240,0.000,,Both,1072.842,720.748,77.194,-123.647,450.000,0.084958,-0.133890,0.987348,33.000,-54.000,-63.600,6.643,230.906,131.438,52.609,49.484,163.078,Auto,225.281,136.953,10,10,320,240,0.000
13,920386,691902198,,,,,,1015.528,628.053,876.736,-1390.287,10386.328,,Both,981.863,704.216,14.956,-112.338,450.000,0.092379,-0.112377,0.989362,-33.000,-54.000,-63.600,7.390,214.344,204.078,58.531,55.281,169.609,Auto,206.109,209.875,1590,10,320,240,1.000,,Both,1070.954,718.358,75.902,-122.012,450.000,0.082526,-0.130828,0.987964,33.000,-54.000,-63.600,6.592,230.781,131.281,52.203,48.734,166.000,Auto,225.031,136.906,10,10,320,240,1.000
14,920387,691902948,,,,,,1013.849,633.642,334.136,-581.054,4081.765,,Both,982.815,704.047,15.608,-112.222,450.000,0.093626,-0.112144,0.989271,-33.000,-54.000,-63.600,7.363,214.391,204.016,58.328,55.172,168.688,Auto,206.234,209.813,1590,10,320,240,0.000,,Both,1065.414,718.743,72.112,-122.275,450.000,0.075275,-0.131401,0.988467,33.000,-54.000,-63.600,6.531,230.891,131.313,51.734,47.859,165.813,Auto,224.797,136.922,10,10,320,240,0.000
15,920388,691903698,,,,,,1015.509,630.932,536.790,-879.350,6361.329,,Both,983.480,703.711,16.062,-111.992,450.000,0.094498,-0.111698,0.989239,-33.000,-54.000,-63.600,7.399,214.391,204.016,58.609,55.281,169.328,Auto,206.250,209.844,1590,10,320,240,1.000,,Both,1069.094,718.631,74.629,-122.198,450.000,0.080091,-0.131207,0.988114,33.000,-54.000,-63.600,6.596,230.641,131.344,52.250,48.703,163.406,Auto,224.781,136.938,10,10,320,240,1.000
16,920389,691904448,,,,,,1015.164,630.897,829.949,-1367.569,9896.963,,Both,983.058,703.760,15.773,-112.026,450.000,0.093946,-0.111768,0.989284,-33.000,-54.000,-63.600,7.425,214.359,204.063,58.813,55.453,170.109,Auto,206.203,209.875,1590,10,320,240,0.000,,Both,1069.917,720.581,75.192,-123.532,450.000,0.081139,-0.133716,0.987693,33.000,-54.000,-63.600,6.655,230.781,131.438,52.703,48.906,164.188,Auto,224.969,136.953,10,10,320,240,0.000
