番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,948352,712877742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,Both,1445.488,844.591,332.114,-208.366,450.000,0.487101,-0.251381,0.836385,33.000,-54.000,-63.600,4.575,178.047,146.938,36.234,30.750,167.125,Auto,191.688,144.516,10,10,320,240,1.000
2,948353,712878492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,0.000,,Both,1451.634,848.289,336.318,-210.896,450.000,0.491787,-0.254383,0.832727,33.000,-54.000,-63.600,4.698,177.828,147.063,37.219,30.203,170.891,Auto,191.672,144.516,10,10,320,240,0.000
3,948354,712879242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,Both,1453.548,854.937,337.628,-215.443,450.000,0.492460,-0.260988,0.830282,33.000,-54.000,-63.600,4.658,177.797,147.313,36.891,29.922,168.781,Auto,191.656,144.500,10,10,320,240,1.000
4,948355,712879992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,0.000,,Both,1452.109,842.477,336.643,-206.920,450.000,0.492984,-0.248275,0.833862,33.000,-54.000,-63.600,4.599,177.734,146.859,36.422,30.125,171.375,Auto,191.656,144.516,10,10,320,240,0.000
5,948356,712880742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,Both,1439.706,841.721,328.159,-206.403,450.000,0.482553,-0.249161,0.839679,33.000,-54.000,-63.600,4.694,178.203,146.844,37.172,32.359,168.406,Auto,191.656,144.531,10,10,320,240,1.000
6,948357,712881492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,0.000,,Both,1452.083,850.104,336.626,-212.137,450.000,0.491912,-0.256202,0.832096,33.000,-54.000,-63.600,4.682,177.719,147.203,37.078,31.344,167.750,Auto,191.563,144.578,10,10,320,240,0.000
7,948358,712882242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,Both,1450.675,844.213,335.663,-208.107,450.000,0.491541,-0.250279,0.834115,33.000,-54.000,-63.600,4.566,177.516,147.000,36.172,30.828,166.469,Auto,191.359,144.594,10,10,320,240,1.000
8,948359,712882992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,0.000,,Both,1450.426,848.212,335.492,-210.843,450.000,0.490781,-0.254471,0.833294,33.000,-54.000,-63.600,4.679,177.469,147.125,37.063,30.984,167.625,Auto,191.266,144.578,10,10,320,240,0.000
9,948360,712883742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,Both,1452.424,850.011,336.859,-212.073,450.000,0.492211,-0.256057,0.831963,33.000,-54.000,-63.600,4.704,177.344,147.172,37.266,30.922,167.375,Auto,191.203,144.563,10,10,320,240,1.000
10,948361,712884492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,0.000,,Both,1454.325,847.772,338.160,-210.542,450.000,0.494117,-0.253474,0.831625,33.000,-54.000,-63.600,4.691,177.297,147.109,37.156,30.609,169.281,Auto,191.266,144.563,10,10,320,240,0.000
11,948362,712885242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,Both,1452.189,849.796,336.698,-211.926,450.000,0.492044,-0.255867,0.832121,33.000,-54.000,-63.600,4.696,177.453,147.188,37.188,31.031,168.859,Auto,191.297,144.578,10,10,320,240,1.000
