,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
0,0,600.0,824.0,2.6390791509138034,1.0,pictures\transformed\roomBright_figureDark\E.JPG,contrast,1.024977910386193,sharpness,0.6841249487370106,equalization,7.216338988045546,1.0,2_E_contrast1.0_sharpness0.68_equalization7.2.jpg,2.0,E,1.0,0.0,0.68,0.0,7.2,2023-08-26,16:43:45.975267,f,6.756937742233276,1.6685497760772705,10,2.092482555016686
1,1,1800.0,2021.0,2.01553987545684,5.0,pictures\transformed\roomBright_figureDark\8.JPG,sharpness,0.3136051485398795,contrast,1.141323099590037,equalization,10.7975245166058,0.0,6_8_sharpness0.31_contrast1.1_equalization11.0.jpg,6.0,8,1.1,0.0,0.31,0.0,11.0,2023-08-26,16:43:55.596122,t,16.377793073654175,1.2748172283172607,10,-0.20327973198928356
2,2,2100.0,2346.0,2.0892418363694536,6.0,pictures\transformed\roomBright_figureDark\2.JPG,contrast,1.123583864905848,sharpness,0.4283593827596035,None,None,2.0,7_2_contrast1.1_sharpness0.43.jpg,7.0,2,1.1,0.0,0.43,0.0,0.0,2023-08-26,16:43:58.790678,f,19.572348833084103,1.9522647857666016,10,3.746758339957151
3,3,2400.0,2624.0,2.662041261910933,7.0,pictures\transformed\roomBright_figureDark\T.JPG,gamma,0.7246655356270885,brightness,22.04148617650134,None,None,1.0,8_T_gamma0.72_brightness22.0.jpg,8.0,T,0.0,0.72,0.0,22.0,0.0,2023-08-26,16:44:00.957956,f,21.73962712287903,1.6324660778045654,10,1.8820869599827907
4,4,4200.0,4328.0,2.927755390905772,13.0,pictures\transformed\roomBright_figureDark\E.JPG,sharpness,0.3145768389248981,contrast,1.161337282987168,None,None,2.0,14_E_sharpness0.31_contrast1.2.jpg,14.0,E,1.2,0.0,0.31,0.0,0.0,2023-08-26,16:44:15.768144,f,36.54981470108032,1.434478998184204,10,0.7276706606629736
5,5,5100.0,5244.0,2.4960814004843117,16.0,pictures\transformed\roomBright_figureDark\B.JPG,sharpness,0.9340111468585244,brightness,16.89273621521717,contrast,0.8114334114110973,1.0,17_B_sharpness0.93_brightness17.0_contrast0.81.jpg,17.0,B,0.81,0.0,0.93,17.0,0.0,2023-08-26,16:44:23.156380,f,43.938050270080566,1.3447279930114746,10,0.20435356618182068
6,6,5400.0,5578.0,3.142305674603464,17.0,pictures\transformed\roomBright_figureDark\0.JPG,brightness,21.5119236943246,sharpness,0.0370746760770296,contrast,0.8874590635219869,0.0,18_0_brightness22.0_sharpness0.037_contrast0.89.jpg,18.0,0,0.89,0.0,0.037,22.0,0.0,2023-08-26,16:44:25.663311,t,46.44498229026794,1.3170843124389648,10,0.0431697379881453
7,7,9600.0,9722.0,3.291674161850343,31.0,pictures\transformed\roomBright_figureDark\B.JPG,contrast,0.9790309850816066,gamma,0.787025461716201,brightness,22.89443880098393,2.0,32_B_contrast0.98_gamma0.79_brightness23.0.jpg,32.0,B,0.98,0.79,0.0,23.0,0.0,2023-08-26,16:45:00.672589,f,81.45425963401794,1.3554158210754397,10,0.26667178889123916
8,8,11400.0,11601.0,3.5130773303593954,37.0,pictures\transformed\roomBright_figureDark\B.JPG,sharpness,0.7166941773506256,equalization,31.83053838183076,None,None,2.0,38_B_sharpness0.72_equalization32.0.jpg,38.0,B,0.0,0.0,0.72,0.0,32.0,2023-08-26,16:45:15.716770,f,96.49844026565552,1.3900949954986572,10,0.46887793425124213
9,9,14100.0,14214.0,3.390729985201808,46.0,pictures\transformed\roomBright_figureDark\T.JPG,sharpness,0.0594331396411442,contrast,1.036041600820756,equalization,5.985916802754932,1.0,47_T_sharpness0.059_contrast1.0_equalization6.0.jpg,47.0,T,1.0,0.0,0.059,0.0,6.0,2023-08-26,16:45:38.075769,f,118.8574402332306,1.2504169940948486,10,-0.3455517840221017
10,0,300.0,217.0,2.1157642038115747,0.0,pictures\transformed\roomBright_figureDark\S.JPG,contrast,1.074585820663311,sharpness,0.4193545689658871,None,None,2.0,1_S_contrast1.1_sharpness0.42.jpg,1.0,S,1.1,0.0,0.42,0.0,0.0,2023-08-26,16:46:38.652667,f,1.8092899322509768,1.7050387859344482,10,2.3052414269892356
11,1,900.0,1015.0,3.192690615412122,2.0,pictures\transformed\roomBright_figureDark\1.JPG,contrast,1.080543092145094,equalization,19.54530760531608,None,None,0.0,3_1_contrast1.1_equalization20.0.jpg,3.0,1,1.1,0.0,0.0,0.0,20.0,2023-08-26,16:46:45.661193,t,8.817816257476807,1.2070984840393066,10,-0.5981318724109816
12,2,2100.0,2256.0,3.4030657555050348,6.0,pictures\transformed\roomBright_figureDark\S.JPG,gamma,0.8233393867912381,contrast,1.15549123513212,equalization,5.103268627983641,1.0,7_S_gamma0.82_contrast1.2_equalization5.1.jpg,7.0,S,1.2,0.82,0.0,0.0,5.1,2023-08-26,16:46:55.541466,f,18.69808888435364,1.0909512042999268,10,-1.275359462766374
13,3,5400.0,5517.0,2.990085635541412,17.0,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.5091075129251362,brightness,2.219172534613105,None,None,0.0,18_1_gamma0.51_brightness2.2.jpg,18.0,1,0.0,0.51,0.0,2.2,0.0,2023-08-26,16:47:23.220688,t,46.3616840839386,1.254995822906494,10,-0.31885370542983127
14,4,12600.0,12725.0,3.15561460948536,41.0,pictures\transformed\roomBright_figureDark\8.JPG,gamma,1.062879316884399,sharpness,0.5023574391760668,contrast,0.9884297613382108,0.0,42_8_gamma1.1_sharpness0.5_contrast0.99.jpg,42.0,8,0.99,1.1,0.5,0.0,0.0,2023-08-26,16:48:23.350896,t,106.5075192451477,1.4169540405273438,10,0.6254867363242632
15,5,13500.0,13676.0,2.525761901186155,44.0,pictures\transformed\roomBright_figureDark\9.JPG,brightness,17.6954294568131,gamma,0.7907840315204547,sharpness,0.5353178545112747,0.0,45_9_brightness18.0_gamma0.79_sharpness0.54.jpg,45.0,9,0.0,0.79,0.54,18.0,0.0,2023-08-26,16:48:30.827769,t,113.97468137741087,1.38171648979187,10,0.4200248294405346
16,0,300.0,162.0,2.1589437485949805,0.0,pictures\transformed\roomBright_figureDark\Q.JPG,brightness,19.28452195342186,contrast,1.069421260212048,sharpness,0.4321254350243235,2.0,1_Q_brightness19.0_contrast1.1_sharpness0.43.jpg,1.0,Q,1.1,0.0,0.43,19.0,0.0,2023-08-26,17:38:54.028749,f,2.1483700275421143,2.0477755069732666,10,4.303658989899492
17,1,1500.0,1723.0,2.3102604406242007,4.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.168636020134301,sharpness,0.7366664890830545,equalization,23.4285650009451,2.0,5_T_contrast1.2_sharpness0.74_equalization23.0.jpg,5.0,T,1.2,0.0,0.74,0.0,23.0,2023-08-26,17:39:05.804448,f,13.9085214138031,1.297435283660889,10,-0.07139914767201903
18,2,3000.0,3139.0,2.410774950834943,9.0,pictures\transformed\roomBright_figureDark\7.JPG,contrast,0.96929532419543,equalization,4.656845029323566,None,None,0.0,10_7_contrast0.97_equalization4.7.jpg,10.0,7,0.97,0.0,0.0,0.0,4.7,2023-08-26,17:39:18.491406,t,26.59532928466797,1.4772999286651611,10,0.9773494790689287
19,3,4200.0,4346.0,3.3602151601654606,13.0,pictures\transformed\roomBright_figureDark\3.JPG,brightness,8.417065154058854,sharpness,0.7786290006574709,None,None,0.0,14_3_brightness8.4_sharpness0.78.jpg,14.0,3,0.0,0.0,0.78,8.4,0.0,2023-08-26,17:39:28.302638,t,36.42225885391235,1.3188328742980957,10,0.053365192734082335
20,4,5700.0,5917.0,3.478026399921353,18.0,pictures\transformed\roomBright_figureDark\T.JPG,brightness,14.67564378732951,gamma,0.802495255594804,None,None,1.0,19_T_brightness15.0_gamma0.8.jpg,19.0,T,0.0,0.8,0.0,15.0,0.0,2023-08-26,17:39:40.963233,f,49.08285331726074,1.4799244403839111,10,0.9926523923281699
