,フレーム数,両眼.注視Z座標[mm]
0,53,2.139366547330234
1,493,1.8628409782224264
2,847,1.772821412392278
3,1100,1.6549219139668017
4,1346,2.0115817958087443
5,1659,1.6684698389411525
6,2040,3.950394433433459
7,2139,2.0537317977768583
8,2432,1.3562846365444072
9,3592,1.4116280044098615
10,3853,1.2921403041462267
11,4075,4.242635262399556
12,4847,1.2433856167577664
13,5072,1.3779325226273966
14,5305,4.012699885082362
15,6186,3.392088946510752
16,6890,1.61751198255415
17,7548,1.2280482752472148
18,7698,2.8163052028549536
19,8316,3.644298450117994
20,8426,3.2454151030168936
21,8898,3.858177211103894
22,9230,2.9513908202444763
23,9501,3.8563544465111868
24,9789,3.2826009577837763
25,10095,2.8086444771559593
26,10393,1.4874876489988667
27,10691,1.4309341138647291
28,11202,1.2852090391448585
29,12303,1.2932259489706144
30,13173,4.345988615076497
31,14638,1.4329181059790859
