番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,392124,295173455,,,,,,1247.643,688.166,7671.864,-3951.800,17544.874,,Pupil,1237.648,808.192,189.935,-183.466,450.000,0.388673,-0.225211,0.893428,-33.500,-54.000,-63.600,3.070,158.844,91.500,24.313,12.234,83.328,Auto,,,1590,10,320,240,1.000,,Both,1413.176,872.638,310.010,-227.552,450.000,0.454357,-0.285178,0.843939,33.500,-54.000,-63.600,3.263,122.344,121.172,25.844,12.516,76.219,Auto,140.047,120.063,10,10,320,240,1.000
2,392125,295174205,,,,,,,,,,,,Both,1241.832,768.474,192.797,-156.295,450.000,0.396670,-0.179311,0.900278,-33.500,-54.000,-63.600,3.719,159.313,89.031,29.453,15.578,79.391,Auto,173.969,97.625,1590,10,320,240,0.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,0.000
3,392126,295174955,,,,,,,,,,,,Both,1243.793,737.430,194.139,-135.058,450.000,0.401051,-0.142808,0.904856,-33.500,-54.000,-63.600,3.996,159.219,86.859,31.656,18.547,73.531,Auto,173.875,98.078,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
4,392127,295175705,,,,,,,,,,,,Both,1242.496,721.826,193.251,-124.384,450.000,0.400746,-0.124393,0.907705,-33.500,-54.000,-63.600,4.128,159.156,85.938,32.703,22.297,73.375,Auto,173.703,98.453,1590,10,320,240,0.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,0.000
5,392128,295176455,,,,,,,,,,,,Both,1254.367,706.466,201.372,-113.876,450.000,0.413564,-0.105431,0.904350,-33.500,-54.000,-63.600,4.171,158.813,84.656,33.031,25.453,65.531,Auto,173.891,98.578,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
6,392129,295177205,,,,,,1260.214,619.938,892.730,-237.708,1956.104,,Both,1255.177,689.444,201.925,-102.232,450.000,0.415182,-0.085059,0.905753,-33.500,-54.000,-63.600,4.250,158.938,83.266,33.656,28.734,56.406,Auto,174.000,98.625,1590,10,320,240,0.000,,Both,1324.625,683.527,249.434,-98.185,450.000,0.386358,-0.079057,0.918955,33.500,-54.000,-63.600,4.192,128.016,108.719,33.203,28.750,78.219,Auto,140.953,120.875,10,10,320,240,0.000
7,392130,295177955,,,,,,1262.050,613.300,1053.008,-255.538,2293.271,,Both,1256.789,688.105,203.028,-101.316,450.000,0.416846,-0.083387,0.905144,-33.500,-54.000,-63.600,4.342,158.938,83.188,34.391,29.203,43.672,Auto,174.078,98.688,1590,10,320,240,1.000,,Both,1321.523,671.239,247.312,-89.779,450.000,0.383535,-0.064180,0.921294,33.500,-54.000,-63.600,4.291,128.406,107.781,33.984,30.828,63.594,Auto,141.109,120.906,10,10,320,240,1.000
8,392131,295178705,,,,,,1264.376,621.554,717.982,-192.375,1551.694,,Both,1259.875,689.959,205.140,-102.585,450.000,0.419835,-0.085474,0.903567,-33.500,-54.000,-63.600,4.249,158.922,83.406,33.656,29.219,41.984,Auto,174.219,98.766,1590,10,320,240,0.000,,Both,1314.045,670.399,242.196,-89.204,450.000,0.375692,-0.063374,0.924575,33.500,-54.000,-63.600,4.412,128.797,107.953,34.938,30.688,60.672,Auto,141.141,121.094,10,10,320,240,0.000
9,392132,295179455,,,,,,1261.877,622.235,671.921,-183.039,1464.168,,Both,1257.238,688.874,203.335,-101.842,450.000,0.417261,-0.084289,0.904869,-33.500,-54.000,-63.600,4.276,159.156,83.406,33.859,28.938,43.156,Auto,174.313,98.844,1590,10,320,240,1.000,,Both,1310.711,670.495,239.916,-89.270,450.000,0.372155,-0.063589,0.925990,33.500,-54.000,-63.600,4.475,128.969,108.078,35.438,31.641,60.063,Auto,141.141,121.203,10,10,320,240,1.000
10,392133,295180205,,,,,,1263.178,617.630,673.089,-172.348,1460.419,,Both,1258.469,686.807,204.178,-100.428,450.000,0.418572,-0.081764,0.904496,-33.500,-54.000,-63.600,4.278,159.219,83.484,33.891,28.891,41.531,Auto,174.422,99.109,1590,10,320,240,0.000,,Both,1304.611,658.201,235.743,-80.859,450.000,0.365959,-0.048602,0.929361,33.500,-54.000,-63.600,5.130,129.438,107.297,40.641,33.484,23.234,Auto,141.219,121.375,10,10,320,240,0.000
