番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,812932,610788919,,,,,,696.629,499.468,-1126.029,173.292,2812.455,,Both,655.928,534.038,-208.011,4.078,450.000,-0.319887,0.106461,0.941455,-33.500,-54.000,-63.600,3.896,210.016,66.703,30.859,25.438,119.781,Auto,187.219,97.141,1590,10,320,240,1.000,,Both,707.230,565.529,-172.916,-17.464,450.000,-0.372100,0.065862,0.925853,33.500,-54.000,-63.600,3.434,187.141,87.797,27.203,19.875,138.500,Auto,159.391,116.531,10,10,320,240,1.000
2,812933,610789669,,,,,,700.513,507.356,-551.227,69.345,1397.391,,Both,662.867,540.026,-203.264,-0.018,450.000,-0.312286,0.099302,0.944784,-33.500,-54.000,-63.600,3.830,209.875,66.609,30.344,25.281,121.219,Auto,187.484,96.516,1590,10,320,240,0.000,,Pupil,709.774,563.336,-171.175,-15.964,450.000,-0.369325,0.068635,0.926762,33.500,-54.000,-63.600,3.381,186.938,87.609,26.781,20.141,139.438,Auto,,,10,10,320,240,0.000
3,812934,610790419,,,,,,713.677,512.116,-519.903,58.853,1388.421,,Both,678.948,543.203,-192.263,-2.191,450.000,-0.293968,0.095931,0.950989,-33.500,-54.000,-63.600,3.803,208.125,66.984,30.125,24.984,122.063,Auto,186.656,96.547,1590,10,320,240,1.000,,Pupil,724.484,569.367,-161.112,-20.090,450.000,-0.353660,0.061624,0.933342,33.500,-54.000,-63.600,3.353,185.609,88.000,26.563,20.234,136.781,Auto,,,10,10,320,240,1.000
4,812935,610791169,,,,,,734.000,519.521,-391.582,35.483,1139.772,,Both,709.586,542.467,-171.304,-1.687,450.000,-0.257900,0.097903,0.961199,-33.500,-54.000,-63.600,3.817,205.891,67.297,30.234,25.547,116.156,Auto,186.172,96.781,1590,10,320,240,0.000,,Pupil,746.687,576.172,-145.924,-24.745,450.000,-0.329324,0.053696,0.942689,33.500,-54.000,-63.600,3.487,183.563,88.406,27.625,21.750,134.484,Auto,,,10,10,320,240,0.000
5,812936,610791919,,,,,,765.516,497.649,-2816.634,613.354,9526.882,,Both,718.598,542.416,-165.139,-1.653,450.000,-0.247080,0.098253,0.964001,-33.500,-54.000,-63.600,3.805,205.016,67.219,30.141,25.609,115.750,Auto,185.828,96.656,1590,10,320,240,1.000,,Both,786.836,570.045,-118.458,-20.553,450.000,-0.283160,0.062324,0.957045,33.500,-54.000,-63.600,3.291,182.578,88.266,26.063,20.922,134.969,Auto,160.016,115.438,10,10,320,240,1.000
6,812937,610792669,,,,,,762.588,499.769,-2770.361,564.582,9231.388,,Both,718.315,541.957,-165.333,-1.339,450.000,-0.247407,0.098827,0.963858,-33.500,-54.000,-63.600,3.800,204.953,67.063,30.094,25.609,114.594,Auto,185.750,96.547,1590,10,320,240,0.000,,Both,783.265,571.652,-120.902,-21.652,450.000,-0.287376,0.060206,0.955924,33.500,-54.000,-63.600,3.399,182.797,88.313,26.922,20.906,138.297,Auto,160.000,115.359,10,10,320,240,0.000
7,812938,610793419,,,,,,764.406,497.791,-2792.218,602.557,9390.695,,Both,718.215,541.787,-165.401,-1.222,450.000,-0.247522,0.099041,0.963807,-33.500,-54.000,-63.600,3.817,204.922,66.969,30.234,25.563,115.922,Auto,185.719,96.469,1590,10,320,240,1.000,,Both,785.773,570.899,-119.186,-21.137,450.000,-0.284426,0.061217,0.956742,33.500,-54.000,-63.600,3.350,182.672,88.188,26.531,20.516,135.953,Auto,160.031,115.281,10,10,320,240,1.000
8,812939,610794169,,,,,,763.338,498.752,-2733.965,573.420,9144.836,,Both,719.056,540.925,-164.826,-0.632,450.000,-0.246481,0.100164,0.963958,-33.500,-54.000,-63.600,3.869,204.813,66.844,30.641,25.781,117.000,Auto,185.672,96.406,1590,10,320,240,0.000,,Both,784.583,572.100,-120.000,-21.959,450.000,-0.285844,0.059666,0.956417,33.500,-54.000,-63.600,3.380,182.719,88.234,26.766,20.844,138.125,Auto,160.016,115.234,10,10,320,240,0.000
9,812940,610794919,,,,,,762.557,499.618,-2750.668,562.585,9164.315,,Both,718.927,541.179,-164.914,-0.807,450.000,-0.246645,0.099836,0.963950,-33.500,-54.000,-63.600,3.882,204.797,66.844,30.750,25.875,116.078,Auto,185.625,96.391,1590,10,320,240,1.000,,Both,783.178,571.303,-120.961,-21.414,450.000,-0.287469,0.060646,0.955868,33.500,-54.000,-63.600,3.417,182.750,88.125,27.063,21.125,136.547,Auto,159.938,115.219,10,10,320,240,1.000
10,812941,610795669,,,,,,762.961,498.403,-2750.054,580.568,9181.054,,Both,718.300,540.878,-165.343,-0.601,450.000,-0.247391,0.100199,0.963721,-33.500,-54.000,-63.600,3.867,204.813,66.781,30.625,25.828,115.953,Auto,185.609,96.359,1590,10,320,240,0.000,,Both,784.192,571.838,-120.267,-21.780,450.000,-0.286296,0.059990,0.956261,33.500,-54.000,-63.600,3.312,182.609,88.234,26.234,20.703,135.359,Auto,159.891,115.266,10,10,320,240,0.000
