,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
0,0,2400,2535,7.066075425416798,7,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.125890088552812,sharpness,0.233031303825717,brightness,28.30639995485875,0,8_8_contrast1.1_sharpness0.23_brightness28.0.jpg,8,8,1.1,0.0,0.23,28.0,0.0,2023-09-01,18:06:55.231028,f,22.15226912498474,2.068888902664185,12,2.9363152606653076
1,1,4200,4318,6.411175918489182,13,pictures\transformed\roomBright_figureDark\7.JPG,gamma,0.8580230090864509,contrast,1.081867727611331,equalization,5.973948795660943,2,14_7_gamma0.86_contrast1.1_equalization6.0.jpg,14,7,1.1,0.86,0.0,0.0,6.0,2023-09-01,18:07:09.575543,f,36.48128437995911,1.3934674263000488,12,-0.2308932646043923
2,2,6000,6132,5.705220556467337,19,pictures\transformed\roomBright_figureDark\Q.JPG,sharpness,0.1718742676995115,gamma,1.069448778935978,equalization,24.02809434832349,2,20_Q_sharpness0.17_gamma1.1_equalization24.0.jpg,20,Q,0.0,1.1,0.17,0.0,24.0,2023-09-01,18:07:24.345070,f,51.266311168670654,1.1779043674468994,12,-1.2417186256931931
3,3,8400,8528,5.476730847305111,27,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.3696546024647976,contrast,0.8474848601024675,equalization,15.40003144198001,2,28_S_sharpness0.37_contrast0.85_equalization15.0.jpg,28,S,0.85,0.0,0.37,0.0,15.0,2023-09-01,18:07:44.537472,f,71.45871329307556,1.378659725189209,12,-0.30033002200565256
4,4,9600,9727,5.576488333195858,31,pictures\transformed\roomBright_figureDark\T.JPG,sharpness,0.2604313032770349,brightness,19.24654162619107,gamma,0.8833372429402995,1,32_T_sharpness0.26_brightness19.0_gamma0.88.jpg,32,T,0.0,0.88,0.26,19.0,0.0,2023-09-01,18:07:54.791197,f,81.71243739128113,1.62969970703125,12,0.8768548891904601
5,0,1800.0,2079,3.0945759077889,5.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.014967400979758,sharpness,0.9424895876923004,None,None,1.0,6_T_contrast1.0_sharpness0.94.jpg,6.0,T,1.0,0.0,0.94,0.0,0.0,2023-09-01,18:41:24.720841,f,16.524555444717407,1.4134514331817627,12,-0.13718360451847372
6,1,6600.0,6883,2.655038045058186,21.0,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.9132984194424484,equalization,8.365659948988872,None,None,0.0,22_8_gamma0.91_equalization8.4.jpg,22.0,8,0.0,0.91,0.0,0.0,8.4,2023-09-01,18:42:04.618156,t,56.421871185302734,1.3313050270080566,12,-0.5223872248625842
7,2,6900.0,7165,2.7070503840073887,22.0,pictures\transformed\roomBright_figureDark\0.JPG,sharpness,0.1790609562273788,gamma,1.001962066208036,brightness,23.44655532979153,0.0,23_0_sharpness0.18_gamma1.0_brightness23.0.jpg,23.0,0,0.0,1.0,0.18,23.0,0.0,2023-09-01,18:42:07.175397,t,58.979111433029175,1.3668689727783203,12,-0.355619604676515
8,3,8100.0,8377,2.697695590143937,26.0,pictures\transformed\roomBright_figureDark\2.JPG,sharpness,0.4651643302311584,equalization,9.51366913848363,None,None,0.0,27_2_sharpness0.47_equalization9.5.jpg,27.0,2,0.0,0.0,0.47,0.0,9.5,2023-09-01,18:42:17.020988,t,68.82470273971558,1.2260842323303225,12,-1.0157920240894682
9,4,9000.0,9297,2.522524938770741,29.0,pictures\transformed\roomBright_figureDark\8.JPG,sharpness,0.8422616648177454,brightness,13.86077976324444,contrast,1.006224798139321,0.0,30_8_sharpness0.84_brightness14.0_contrast1.0.jpg,30.0,8,1.0,0.0,0.84,14.0,0.0,2023-09-01,18:42:24.826708,t,76.63042259216309,1.4585819244384766,12,0.07444377432550699
