frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
1200,1353,3.4154110152637074,3,pictures\transformed\roomBright_figureDark\9.JPG,contrast,0.9749511067316406,sharpness,0.2884477087583852,equalization,15.70123084308966,0,4_9_contrast0.97_sharpness0.29_equalization16.0.jpg,4,9,0.97,0.0,0.29,0.0,16.0
2700,2843,2.4540261644029724,8,pictures\transformed\roomBright_figureDark\1.JPG,sharpness,0.1634106088737334,gamma,0.7181353640747051,equalization,31.23287527862651,0,9_1_sharpness0.16_gamma0.72_equalization31.0.jpg,9,1,0.0,0.72,0.16,0.0,31.0
4500,4636,2.5139411072050906,14,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.9260503013771676,sharpness,0.2047269977867765,equalization,30.31557301172899,0,15_8_gamma0.93_sharpness0.2_equalization30.0.jpg,15,8,0.0,0.93,0.2,0.0,30.0
4800,4996,3.746159188734142,15,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.7544805555254994,contrast,0.9623842353835216,sharpness,0.1612688398344714,0,16_0_gamma0.75_contrast0.96_sharpness0.16.jpg,16,0,0.96,0.75,0.16,0.0,0.0
5100,5239,2.4191953860925604,16,pictures\transformed\roomBright_figureDark\7.JPG,brightness,29.86178239848762,contrast,0.9520468049085716,gamma,0.9278010439488616,2,17_7_brightness30.0_contrast0.95_gamma0.93.jpg,17,7,0.95,0.93,0.0,30.0,0.0
5700,5838,2.363592214560305,18,pictures\transformed\roomBright_figureDark\3.JPG,contrast,1.057801269964338,gamma,0.9813253600381702,brightness,12.09110530811584,0,19_3_contrast1.1_gamma0.98_brightness12.0.jpg,19,3,1.1,0.98,0.0,12.0,0.0
6300,6495,3.899139494740962,20,pictures\transformed\roomBright_figureDark\P.JPG,sharpness,0.3960415981740727,brightness,28.73685937968849,gamma,1.03044620752086,1,21_P_sharpness0.4_brightness29.0_gamma1.0.jpg,21,P,0.0,1.0,0.4,29.0,0.0
8400,8543,2.2882350876072937,27,pictures\transformed\roomBright_figureDark\E.JPG,gamma,0.9225889123822882,sharpness,0.9634957285651762,equalization,21.80415844723258,2,28_E_gamma0.92_sharpness0.96_equalization22.0.jpg,28,E,0.0,0.92,0.96,0.0,22.0
8700,8821,2.178237700701533,28,pictures\transformed\roomBright_figureDark\E.JPG,contrast,0.8910361817912007,sharpness,0.500721692018421,equalization,17.98282550955002,1,29_E_contrast0.89_sharpness0.5_equalization18.0.jpg,29,E,0.89,0.0,0.5,0.0,18.0
9000,9109,2.1780365047165984,29,pictures\transformed\roomBright_figureDark\C.JPG,contrast,1.042628427026112,sharpness,0.9999146643092396,equalization,19.13029438372783,1,30_C_contrast1.0_sharpness1.0_equalization19.0.jpg,30,C,1.0,0.0,1.0,0.0,19.0
10200,10336,2.6538861345322355,33,pictures\transformed\roomBright_figureDark\0.JPG,brightness,20.45673568769002,sharpness,0.1701841097202568,gamma,0.6284421434037897,2,34_0_brightness20.0_sharpness0.17_gamma0.63.jpg,34,0,0.0,0.63,0.17,20.0,0.0
11400,11521,2.319285701685951,37,pictures\transformed\roomBright_figureDark\S.JPG,sharpness,0.1048734204425718,contrast,0.8939460389293004,equalization,17.66135104510798,2,38_S_sharpness0.1_contrast0.89_equalization18.0.jpg,38,S,0.89,0.0,0.1,0.0,18.0
12600,12728,2.398518724786192,41,pictures\transformed\roomBright_figureDark\9.JPG,gamma,0.8093678024420587,sharpness,0.4924154259929736,equalization,12.49790081631936,2,42_9_gamma0.81_sharpness0.49_equalization12.0.jpg,42,9,0.0,0.81,0.49,0.0,12.0
13200,13338,2.5402161202315523,43,pictures\transformed\roomBright_figureDark\T.JPG,sharpness,0.8516094649535619,gamma,0.6317323807920434,equalization,22.1716067941259,1,44_T_sharpness0.85_gamma0.63_equalization22.0.jpg,44,T,0.0,0.63,0.85,0.0,22.0
