frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
5700,5858,4.332810336141413,18,pictures\transformed\roomBright_figureDark\I.JPG,sharpness,0.2475040129313247,brightness,1.00273127120822,None,None,1,19_I_sharpness0.25_brightness1.0.jpg,19,I,0.0,0.0,0.25,1.0,0.0
6000,6166,4.308034083275135,19,pictures\transformed\roomBright_figureDark\0.JPG,sharpness,0.6407674831723706,brightness,21.74673893237214,None,None,0,20_0_sharpness0.64_brightness22.0.jpg,20,0,0.0,0.0,0.64,22.0,0.0
6600,6740,4.861091770975625,21,pictures\transformed\roomBright_figureDark\T.JPG,sharpness,0.1888527488261039,contrast,0.8504522352605277,equalization,17.10895998211672,1,22_T_sharpness0.19_contrast0.85_equalization17.0.jpg,22,T,0.85,0.0,0.19,0.0,17.0
7200,7380,4.53134464537429,23,pictures\transformed\roomBright_figureDark\S.JPG,contrast,1.181265945806493,sharpness,0.2141522469333562,gamma,0.7916612304655589,1,24_S_contrast1.2_sharpness0.21_gamma0.79.jpg,24,S,1.2,0.79,0.21,0.0,0.0
7500,7666,4.3133897110111095,24,pictures\transformed\roomBright_figureDark\E.JPG,gamma,0.8650662464047656,sharpness,0.2393551911898325,contrast,1.078237771779225,2,25_E_gamma0.87_sharpness0.24_contrast1.1.jpg,25,E,1.1,0.87,0.24,0.0,0.0
8100,8253,4.218167406146356,26,pictures\transformed\roomBright_figureDark\I.JPG,gamma,0.9824165639178136,brightness,22.59777762496487,None,None,2,27_I_gamma0.98_brightness23.0.jpg,27,I,0.0,0.98,0.0,23.0,0.0
9600,9730,4.024413417358144,31,pictures\transformed\roomBright_figureDark\2.JPG,contrast,0.994305059199169,sharpness,0.1042903911205173,equalization,6.09755874420711,2,32_2_contrast0.99_sharpness0.1_equalization6.1.jpg,32,2,0.99,0.0,0.1,0.0,6.1
11400,11574,5.120965853268904,37,pictures\transformed\roomBright_figureDark\J.JPG,sharpness,0.3017266502116243,brightness,5.200550147715271,gamma,0.87106081862161,2,38_J_sharpness0.3_brightness5.2_gamma0.87.jpg,38,J,0.0,0.87,0.3,5.2,0.0
12000,12156,5.32968013609868,39,pictures\transformed\roomBright_figureDark\J.JPG,gamma,0.8408314957513559,sharpness,0.5029528567957232,brightness,8.407382940208434,2,40_J_gamma0.84_sharpness0.5_brightness8.4.jpg,40,J,0.0,0.84,0.5,8.4,0.0
12300,12461,4.537227888409086,40,pictures\transformed\roomBright_figureDark\9.JPG,brightness,28.66686659723493,contrast,0.8401124936315524,None,None,0,41_9_brightness29.0_contrast0.84.jpg,41,9,0.84,0.0,0.0,29.0,0.0
12600,12762,4.681928831510196,41,pictures\transformed\roomBright_figureDark\T.JPG,brightness,15.57112894996972,gamma,0.5382809622180517,sharpness,0.2565293310240986,1,42_T_brightness16.0_gamma0.54_sharpness0.26.jpg,42,T,0.0,0.54,0.26,16.0,0.0
12900,13050,5.0854622032720265,42,pictures\transformed\roomBright_figureDark\2.JPG,contrast,0.9136452589885248,brightness,26.67394353221553,gamma,1.032806293849291,2,43_2_contrast0.91_brightness27.0_gamma1.0.jpg,43,2,0.91,1.0,0.0,27.0,0.0
