番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,735436,553042947,,,,,,1033.054,453.317,2193.885,2603.196,19754.851,,Both,984.382,542.356,16.679,-1.612,450.000,0.093875,0.101028,0.990445,-32.000,-54.000,-63.600,5.870,173.047,87.859,46.500,43.391,66.094,Auto,171.578,103.781,1590,10,320,240,1.000,,Both,1089.444,519.170,88.550,14.249,450.000,0.108502,0.130949,0.985434,32.000,-54.000,-63.600,5.615,167.328,90.734,44.469,42.422,138.828,Auto,165.813,105.750,10,10,320,240,1.000
2,735437,553043697,,,,,,1031.826,453.735,2157.430,2591.152,19758.822,,Both,984.622,539.755,16.844,0.167,450.000,0.094156,0.104419,0.990066,-32.000,-54.000,-63.600,5.993,172.531,88.703,47.469,44.906,64.625,Auto,171.063,104.766,1590,10,320,240,0.000,,Both,1092.242,524.569,90.465,10.556,450.000,0.112231,0.123924,0.985924,32.000,-54.000,-63.600,5.732,166.906,92.016,45.406,43.344,144.250,Auto,165.516,106.766,10,10,320,240,0.000
3,735438,553044447,,,,,,1024.598,465.923,1946.120,2231.706,19817.755,,Both,976.612,553.191,11.364,-9.024,450.000,0.083814,0.086930,0.992682,-32.000,-54.000,-63.600,5.978,172.813,91.250,47.344,45.375,68.391,Auto,170.922,106.500,1590,10,320,240,1.000,,Both,1084.337,539.083,85.057,0.628,450.000,0.102187,0.105212,0.989186,32.000,-54.000,-63.600,5.746,167.688,94.125,45.516,42.781,145.734,Auto,165.891,108.109,10,10,320,240,1.000
4,735439,553045197,,,,,,1013.864,485.348,1628.171,1651.983,19884.045,,Both,968.201,568.377,5.610,-19.412,450.000,0.072869,0.067013,0.995088,-32.000,-54.000,-63.600,5.948,173.172,93.703,47.109,45.922,61.016,Auto,170.859,108.016,1590,10,320,240,0.000,,Both,1070.461,559.451,75.565,-13.306,450.000,0.084257,0.078704,0.993331,32.000,-54.000,-63.600,5.849,168.672,96.438,46.328,43.484,147.906,Auto,166.141,109.313,10,10,320,240,0.000
5,735440,553045947,,,,,,1009.494,497.357,1498.458,1291.027,19915.545,,Both,964.122,580.513,2.820,-27.714,450.000,0.067552,0.050996,0.996412,-32.000,-54.000,-63.600,6.013,173.188,95.672,47.625,46.328,57.641,Auto,170.703,109.266,1590,10,320,240,1.000,,Both,1066.661,574.869,72.965,-23.853,450.000,0.079372,0.058411,0.995132,32.000,-54.000,-63.600,5.910,169.375,98.625,46.813,43.641,153.922,Auto,166.625,110.688,10,10,320,240,1.000
6,735441,553046697,,,,,,1009.487,503.877,1498.990,1094.174,19925.532,,Both,964.076,588.153,2.788,-32.941,450.000,0.067523,0.040875,0.996880,-32.000,-54.000,-63.600,5.967,173.281,96.766,47.266,45.547,70.703,Auto,170.828,109.922,1590,10,320,240,0.000,,Both,1066.193,581.738,72.645,-28.552,450.000,0.078794,0.049334,0.995669,32.000,-54.000,-63.600,5.856,169.656,99.813,46.391,43.531,148.375,Auto,166.859,111.500,10,10,320,240,0.000
7,735442,553047447,,,,,,1008.695,500.519,1475.007,1195.886,19925.509,,Both,961.443,587.405,0.987,-32.429,450.000,0.064039,0.041876,0.997068,-32.000,-54.000,-63.600,5.964,173.719,97.250,47.234,45.672,67.125,Auto,171.109,110.422,1590,10,320,240,1.000,,Both,1066.560,579.626,72.896,-27.107,450.000,0.079268,0.052125,0.995490,32.000,-54.000,-63.600,5.851,169.813,100.328,46.344,43.406,151.203,Auto,167.063,112.125,10,10,320,240,1.000
8,735443,553048197,,,,,,1007.793,496.968,1447.504,1303.311,19923.171,,Both,959.823,584.289,-0.121,-30.298,450.000,0.061885,0.046012,0.997022,-32.000,-54.000,-63.600,6.008,174.250,97.828,47.594,46.234,65.516,Auto,171.516,111.156,1590,10,320,240,0.000,,Both,1066.467,576.821,72.832,-25.188,450.000,0.079128,0.055834,0.995300,32.000,-54.000,-63.600,5.847,170.281,100.922,46.313,43.391,150.453,Auto,167.516,112.875,10,10,320,240,0.000
9,735444,553048947,,,,,,1007.846,501.866,1449.488,1155.257,19928.323,,Both,961.006,587.958,0.688,-32.808,450.000,0.063462,0.041144,0.997136,-32.000,-54.000,-63.600,5.998,174.563,98.500,47.516,46.125,74.328,Auto,171.906,111.641,1590,10,320,240,1.000,,Both,1065.687,581.321,72.298,-28.267,450.000,0.078125,0.049887,0.995695,32.000,-54.000,-63.600,5.805,170.859,101.672,45.984,43.203,149.641,Auto,168.047,113.375,10,10,320,240,1.000
10,735445,553049697,,,,,,1005.751,500.455,1386.399,1198.341,19933.673,,Both,956.741,589.630,-2.229,-33.951,450.000,0.057824,0.038941,0.997567,-32.000,-54.000,-63.600,5.987,175.125,99.266,47.422,45.656,79.406,Auto,172.234,112.281,1590,10,320,240,0.000,,Both,1063.754,580.358,70.976,-27.608,450.000,0.075571,0.051172,0.995827,32.000,-54.000,-63.600,5.772,171.281,102.266,45.719,42.969,151.094,Auto,168.375,114.031,10,10,320,240,0.000
