trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S02_3_1,S02,3,1,Q,filler,4,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,,,,,,,M_3_10_Q_filler_4_day_sun_empty_ORIG.jpg,Ignore,2026-01-06T16:24:54.712,0.0,0,0,,,Q,4,None,1,Correct Rejection,正解(スルー成功)
S02_3_2,S02,3,2,0,unmatch,4,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\4_day_rain_empty.jpg,,,,,,,M_3_35_0_unmatch_4_day_rain_empty_BRIGHTONLY.jpg,Mismatch,2026-01-06T16:24:57.218,2.5053906440734863,150,301,,,0,4,None,0,Omission,無反応(不正解)
S02_3_3,S02,3,3,D,filler,6,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\6_day_sun_empty.jpg,,,,,,,M_3_46_D_filler_6_day_sun_empty_BRIGHTONLY.jpg,Ignore,2026-01-06T16:24:59.716,5.0039379596710205,300,600,2026-01-06 16:25:01.013645,1.2970633506774902,D,6,b,0,False Alarm,お手つき(スルー失敗)
S02_3_4,S02,3,4,F,filler,1,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,,,,,,,M_3_42_F_filler_1_day_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:25:02.216,7.504054307937622,450,900,,,F,1,None,1,Correct Rejection,正解(スルー成功)
S02_3_5,S02,3,5,7,match,7,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,,,,,,,M_3_41_7_match_7_day_sun_busy_BRIGHTONLY.jpg,Match,2026-01-06T16:25:04.732,10.019731283187866,601,1202,,,7,7,None,0,Omission,無反応(不正解)
S02_3_6,S02,3,6,F,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\7_day_rain_empty.jpg,,,,,,,M_3_27_F_filler_7_day_rain_empty_BRIGHTONLY.jpg,Ignore,2026-01-06T16:25:07.226,12.513816118240356,751,1502,2026-01-06 16:25:08.224260,0.9977996349334717,F,7,t,0,False Alarm,お手つき(スルー失敗)
S02_3_7,S02,3,7,A,filler,2,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\2_day_rain_busy.jpg,,,,,,,M_3_48_A_filler_2_day_rain_busy_MODEL.jpg,Ignore,2026-01-06T16:25:09.733,15.021272897720337,901,1803,,,A,2,None,1,Correct Rejection,正解(スルー成功)
S02_3_8,S02,3,8,1,unmatch,2,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,,,,,,,M_3_33_1_unmatch_2_day_sun_busy_ORIG.jpg,Mismatch,2026-01-06T16:25:12.248,17.5355064868927,1052,2104,,,1,2,None,0,Omission,無反応(不正解)
S02_3_9,S02,3,9,D,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,,,,,,,M_3_20_D_filler_5_day_sun_busy_BRIGHTONLY.jpg,Ignore,2026-01-06T16:25:14.730,20.018044233322144,1201,2402,2026-01-06 16:25:15.767251,1.0365629196166992,D,5,b,0,False Alarm,お手つき(スルー失敗)
S02_3_10,S02,3,10,I,filler,8,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\8_day_rain_busy.jpg,,,,,,,M_3_32_I_filler_8_day_rain_busy_MODEL.jpg,Ignore,2026-01-06T16:25:17.229,22.516451120376587,1351,2702,,,I,8,None,1,Correct Rejection,正解(スルー成功)
S02_3_11,S02,3,11,B,filler,2,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,,,,,,,M_3_28_B_filler_2_day_sun_empty_MODEL.jpg,Ignore,2026-01-06T16:25:19.707,24.995084047317505,1500,2999,,,B,2,None,1,Correct Rejection,正解(スルー成功)
S02_3_12,S02,3,12,3,match,3,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_3_15_3_match_3_day_rain_busy_ORIG.jpg,Match,2026-01-06T16:25:22.232,27.520316123962402,1651,3302,,,3,3,None,0,Omission,無反応(不正解)
S02_3_13,S02,3,13,P,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,,,,,,,M_3_21_P_filler_7_day_sun_empty_BRIGHTONLY.jpg,Ignore,2026-01-06T16:25:24.732,30.019471883773804,1801,3602,2026-01-06 16:25:25.710748,0.9786322116851807,P,7,t,0,False Alarm,お手つき(スルー失敗)
S02_3_14,S02,3,14,7,match,7,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,,,,,,,M_3_44_7_match_7_day_sun_busy_MODEL.jpg,Match,2026-01-06T16:25:27.246,32.53373432159424,1952,3904,,,7,7,None,0,Omission,無反応(不正解)
S02_3_15,S02,3,15,U,filler,3,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_3_34_U_filler_3_day_rain_busy_BRIGHTONLY.jpg,Ignore,2026-01-06T16:25:29.716,35.00403618812561,2100,4200,2026-01-06 16:25:30.856683,1.1400032043457031,U,3,t,0,False Alarm,お手つき(スルー失敗)
S02_3_16,S02,3,16,S,filler,2,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,,,,,,,M_3_18_S_filler_2_day_sun_empty_BRIGHTONLY.jpg,Ignore,2026-01-06T16:25:32.217,37.50501871109009,2250,4501,,,S,2,None,1,Correct Rejection,正解(スルー成功)
