trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S03_7_1,S03,7,1,D,filler,0,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,brightness,46.88,,,,,M_7_33_D_filler_0_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-06T16:54:29.065,0.0,0,0,,,D,0,None,1,Correct Rejection,正解(スルー成功)
S03_7_2,S03,7,2,3,unmatch,5,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\5_night_rain_busy.jpg,,,,,,,M_7_28_3_unmatch_5_night_rain_busy_ORIG.jpg,Mismatch,2026-01-06T16:54:31.552,2.4873886108398438,149,298,,,3,5,None,0,Omission,無反応(不正解)
S03_7_3,S03,7,3,F,filler,5,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\5_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_7_29_F_filler_5_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-06T16:54:34.077,5.011611700057983,301,601,2026-01-06 16:54:35.359289,1.282071590423584,F,5,b,0,False Alarm,お手つき(スルー失敗)
S03_7_4,S03,7,4,G,filler,4,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,,,,,,,M_7_2_G_filler_4_night_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:54:36.596,7.53116774559021,452,904,,,G,4,None,1,Correct Rejection,正解(スルー成功)
S03_7_5,S03,7,5,I,filler,8,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,brightness,46.88,,,,,M_7_25_I_filler_8_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-06T16:54:39.070,10.004547595977783,600,1201,,,I,8,None,1,Correct Rejection,正解(スルー成功)
S03_7_6,S03,7,6,0,unmatch,6,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,brightness,35.62,,,,,M_7_22_0_unmatch_6_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-06T16:54:41.561,12.49544620513916,750,1499,,,0,6,None,0,Omission,無反応(不正解)
S03_7_7,S03,7,7,R,filler,2,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,,,,,,,M_7_31_R_filler_2_night_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:54:44.068,15.002996683120728,900,1800,2026-01-06 16:54:45.524883,1.45628023147583,R,2,b,0,False Alarm,お手つき(スルー失敗)
S03_7_8,S03,7,8,D,filler,8,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_7_6_D_filler_8_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-06T16:54:46.567,17.50211763381958,1050,2100,,,D,8,None,1,Correct Rejection,正解(スルー成功)
S03_7_9,S03,7,9,4,unmatch,3,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_30_4_unmatch_3_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Mismatch,2026-01-06T16:54:49.073,20.0075523853302,1200,2401,,,4,3,None,0,Omission,無反応(不正解)
S03_7_10,S03,7,10,D,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\5_night_rain_busy.jpg,brightness,45.47,,,,,M_7_40_D_filler_5_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-06T16:54:51.563,22.497795343399048,1350,2700,2026-01-06 16:54:52.624135,1.0607335567474365,D,5,b,0,False Alarm,お手つき(スルー失敗)
