day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-08-31,21:24:04.496992,f,48.83352255821228,1.1877753734588623,20_0_sharpness0.64_brightness22.0.jpg,0,20,0,0,0,0.64,22.0,0
2023-08-31,21:24:07.165341,t,51.50187134742737,1.350356101989746,21_7_sharpness0.18_gamma0.52.jpg,4,21,7,0,0.52,0.18,0,0
2023-08-31,21:24:11.866958,f,56.20348882675171,1.0581386089324951,23_S_sharpness0.52_brightness23.0_contrast0.87.jpg,4,23,S,0.87,0,0.52,23.0,0
2023-08-31,21:24:17.171662,f,61.50819253921509,1.3859200477600098,25_E_gamma0.87_sharpness0.24_contrast1.1.jpg,2,25,E,1.1,0.87,0.24,0,0
2023-08-31,21:24:19.536823,f,63.8733537197113,1.270019292831421,26_P_gamma1.0_contrast1.0.jpg,4,26,P,1.0,1.0,0,0,0
2023-08-31,21:24:24.489289,f,68.81026458740234,1.2247402667999268,28_1_gamma0.66_brightness20.0.jpg,4,28,1,0,0.66,0,20.0,0
2023-08-31,21:24:36.843155,f,81.16413354873657,1.048466682434082,33_T_gamma0.6_contrast1.0_sharpness0.18.jpg,4,33,T,1.0,0.6,0.18,0,0
2023-08-31,21:24:52.019837,f,96.35636734962463,1.2563390731811523,39_Q_brightness0.86_contrast1.1.jpg,4,39,Q,1.1,0,0,0.86,0
2023-08-31,21:24:56.943532,f,101.27794218063354,1.1738958358764648,41_9_brightness29.0_contrast0.84.jpg,0,41,9,0.84,0,0,29.0,0
2023-08-31,21:24:59.575858,t,103.91238856315611,1.2864909172058103,42_T_brightness16.0_gamma0.54_sharpness0.26.jpg,1,42,T,0,0.54,0.26,16.0,0
2023-08-31,21:25:01.910262,f,106.24679279327393,1.1411819458007812,43_2_contrast0.91_brightness27.0_gamma1.0.jpg,2,43,2,0.91,1.0,0,27.0,0
2023-08-31,21:25:04.390317,f,108.72684812545776,1.1128740310668943,44_3_contrast1.2_sharpness0.83_equalization11.0.jpg,4,44,3,1.2,0,0.83,0,11.0
