day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-01,20:45:16.612693,f,1.8751540184021,1.7849581241607666,1_3_sharpness0.66_gamma1.0_equalization11.0.jpg,2,1,3,0,1.0,0.66,0,11.0
2023-09-01,20:45:23.729801,t,8.991235733032227,1.381831407546997,4_3_sharpness0.007_equalization8.1.jpg,0,4,3,0,0,0.007,0,8.1
2023-09-01,20:45:26.249070,t,11.511530637741089,1.347439527511597,5_J_contrast0.91_sharpness0.83_equalization16.0.jpg,4,5,J,0.91,0,0.83,0,16.0
2023-09-01,20:45:46.335154,f,31.59761428833008,1.5132622718811035,13_1_gamma0.92_brightness24.0.jpg,4,13,1,0,0.92,0,24.0,0
2023-09-01,20:46:01.524709,f,46.787169456481934,1.5833556652069092,19_T_sharpness0.92_gamma1.1_equalization14.0.jpg,4,19,T,0,1.1,0.92,0,14.0
2023-09-01,20:46:08.847414,f,54.1098747253418,1.4251246452331543,22_T_gamma0.5_sharpness0.79_equalization21.0.jpg,4,22,T,0,0.5,0.79,0,21.0
2023-09-01,20:46:37.051450,t,82.31391072273254,2.1962761878967285,33_9_sharpness0.3_equalization26.0.jpg,0,33,9,0,0,0.3,0,26.0
2023-09-01,20:46:48.795707,f,94.05816793441772,1.4715709686279297,38_J_sharpness0.097_gamma0.87_equalization8.8.jpg,4,38,J,0,0.87,0.097,0,8.8
2023-09-01,20:46:56.415766,f,101.67822670936584,1.5204458236694336,41_B_gamma0.8_brightness15.0.jpg,1,41,B,0,0.8,0,15.0,0
2023-09-01,20:46:58.798804,f,104.0612645149231,1.442267894744873,42_I_contrast1.1_sharpness0.5_equalization24.0.jpg,4,42,I,1.1,0,0.5,0,24.0
