day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-02,12:55:15.533421,f,23.612812519073486,0.956413984298706,10_I_gamma0.55_contrast0.9_brightness20.0.jpg,2,10,I,0.9,0.55,0,20.0,0
2023-09-02,12:55:18.088033,f,26.182924270629883,1.0066120624542236,11_1_contrast1.1_sharpness0.65_equalization8.0.jpg,4,11,1,1.1,0,0.65,0,8.0
2023-09-02,12:55:22.981357,f,31.07624912261963,0.9316697120666504,13_I_brightness18.0_sharpness0.00066_contrast0.92.jpg,1,13,I,0.92,0,0.00066,18.0,0
2023-09-02,12:55:25.505096,f,33.599987506866455,0.93937349319458,14_C_brightness16.0_sharpness0.39_contrast0.91.jpg,1,14,C,0.91,0,0.39,16.0,0
2023-09-02,12:55:28.107103,f,36.20199513435364,1.0974924564361572,15_Q_sharpness0.37_gamma0.69_contrast0.88.jpg,4,15,Q,0.88,0.69,0.37,0,0
2023-09-02,12:55:55.435689,f,63.51501941680908,0.911540985107422,26_Q_contrast0.83_gamma0.55_sharpness0.78.jpg,4,26,Q,0.83,0.55,0.78,0,0
2023-09-02,12:56:15.533582,f,83.62847328186035,0.9613986015319824,34_7_gamma0.65_contrast1.2_equalization5.7.jpg,4,34,7,1.2,0.65,0,0,5.7
2023-09-02,12:56:33.140085,f,101.23497700691225,1.077542781829834,41_E_gamma1.0_contrast0.81_equalization8.1.jpg,4,41,E,0.81,1.0,0,0,8.1
2023-09-02,12:56:38.015790,f,106.1106812953949,1.0039353370666504,43_B_brightness9.0_sharpness0.95_gamma0.97.jpg,4,43,B,0,0.97,0.95,9.0,0
2023-09-02,12:56:45.415164,f,113.49451804161072,0.8930790424346924,46_P_sharpness0.24_contrast1.2_equalization13.0.jpg,4,46,P,1.2,0,0.24,0,13.0
2023-09-02,12:56:45.761315,t,113.85620665550232,1.254767656326294,46_P_sharpness0.24_contrast1.2_equalization13.0.jpg,4,46,P,1.2,0,0.24,0,13.0
2023-09-02,12:56:50.598198,t,118.69206261634828,1.104468584060669,48_2_gamma0.85_brightness5.5_contrast0.85.jpg,4,48,2,0.85,0.85,0,5.5,0
