day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-02,14:49:04.672689,f,8.96098256111145,1.3488788604736328,4_Q_contrast1.2_sharpness0.92_equalization16.0.jpg,4,4,Q,1.2,0,0.92,0,16.0
2023-09-02,14:49:22.180359,t,26.457980632781982,1.294501543045044,11_B_sharpness0.12_contrast1.1_brightness19.0.jpg,4,11,B,1.1,0,0.12,19.0,0
2023-09-02,14:49:29.851388,f,34.13968110084534,1.4507081508636477,14_0_gamma0.8_sharpness0.65_equalization6.9.jpg,4,14,0,0,0.8,0.65,0,6.9
2023-09-02,14:49:44.621398,t,48.908581256866455,1.221766710281372,20_Q_sharpness0.96_contrast1.1_equalization6.3.jpg,4,20,Q,1.1,0,0.96,0,6.3
2023-09-02,14:49:50.779791,t,55.068084478378296,2.39880919456482,23_P_gamma0.6_contrast0.97_equalization19.0.jpg,4,23,P,0.97,0.6,0,0,19.0
2023-09-02,14:50:04.673404,t,68.9616973400116,1.2877180576324463,28_J_sharpness0.18_gamma0.72_equalization6.3.jpg,4,28,J,0,0.72,0.18,0,6.3
2023-09-02,14:50:12.155140,f,76.44343328475952,1.2735180854797363,31_1_sharpness0.45_brightness24.0_gamma0.52.jpg,4,31,1,0,0.52,0.45,24.0,0
2023-09-02,14:50:39.743559,f,104.02948760986328,1.3609766960144043,42_0_gamma1.1_contrast0.88_equalization15.0.jpg,4,42,0,0.88,1.1,0,0,15.0
2023-09-02,14:50:49.636323,f,113.92461633682252,1.2538397312164309,46_P_sharpness0.37_brightness12.0_gamma0.81.jpg,4,46,P,0,0.81,0.37,12.0,0
2023-09-02,14:50:54.544801,t,118.8330943584442,1.1913001537322998,48_S_contrast0.81_gamma0.51_brightness13.0.jpg,1,48,S,0.81,0.51,0,13.0,0
