day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-02,18:30:25.908555,f,1.807107925415039,1.66412353515625,1_S_gamma0.67_contrast0.86_equalization25.0.jpg,1,1,S,0.86,0.67,0,0,25.0
2023-09-02,18:30:35.615318,f,11.529463052749634,1.335118055343628,5_2_sharpness0.65_gamma0.74_brightness6.4.jpg,4,5,2,0,0.74,0.65,6.4,0
2023-09-02,18:30:43.091486,t,18.992599725723267,1.381755828857422,8_T_contrast1.1_brightness21.0_sharpness0.75.jpg,4,8,T,1.1,0,0.75,21.0,0
2023-09-02,18:30:53.046688,f,28.960832595825195,1.3004682064056396,12_B_sharpness0.15_contrast0.92_equalization4.1.jpg,4,12,B,0.92,0,0.15,0,4.1
2023-09-02,18:30:57.766236,t,33.67885065078735,0.9830880165100098,14_7_contrast0.91_sharpness0.87_equalization15.0.jpg,0,14,7,0.91,0,0.87,0,15.0
2023-09-02,18:31:00.416740,f,36.33088517189026,1.2242136001586914,15_1_sharpness0.93_brightness1.4_contrast0.96.jpg,4,15,1,0.96,0,0.93,1.4,0
2023-09-02,18:31:00.854307,t,36.75279927253723,1.646127700805664,15_1_sharpness0.93_brightness1.4_contrast0.96.jpg,4,15,1,0.96,0,0.93,1.4,0
2023-09-02,18:31:22.947030,f,58.85914778709412,1.1588382720947266,24_8_brightness19.0_contrast1.1_sharpness0.25.jpg,2,24,8,1.1,0,0.25,19.0,0
2023-09-02,18:31:25.721010,f,61.631550550460815,1.4856057167053225,25_Q_contrast1.1_gamma0.97_brightness16.0.jpg,4,25,Q,1.1,0.97,0,16.0,0
2023-09-02,18:31:40.331709,t,76.245854139328,1.048426866531372,31_Q_brightness19.0_sharpness0.55_gamma0.83.jpg,4,31,Q,0,0.83,0.55,19.0,0
2023-09-02,18:31:45.773589,t,81.68590807914734,1.5053212642669678,33_8_gamma0.5_contrast0.86_sharpness0.64.jpg,0,33,8,0.86,0.5,0.64,0,0
2023-09-02,18:31:48.109843,t,84.02398753166199,1.3648107051849363,34_9_contrast0.95_brightness9.2_gamma0.73.jpg,2,34,9,0.95,0.73,0,9.2,0
2023-09-02,18:31:50.710948,f,86.62509322166443,1.4552645683288574,35_Q_contrast0.96_gamma0.8_equalization26.0.jpg,4,35,Q,0.96,0.8,0,0,26.0
2023-09-02,18:32:10.625432,f,106.53957724571228,1.3680648803710938,43_1_sharpness0.14_contrast0.98_equalization13.0.jpg,4,43,1,0.98,0,0.14,0,13.0
