day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-08-24,13:45:52.746934,f,9.506954669952393,1.901872396469116,4_T_brightness14.0_sharpness0.8.jpg,4,4,T,0,0,0.8,14.0,0
2023-08-24,13:45:57.783561,f,14.527968406677246,1.909963607788086,6_S_sharpness0.47_brightness23.0_gamma0.65.jpg,4,6,S,0,0.65,0.47,23.0,0
2023-08-24,13:46:22.625024,f,39.37000989913941,1.7681069374084473,16_I_gamma0.83_contrast0.91_equalization28.0.jpg,1,16,I,0.91,0.83,0,0,28.0
2023-08-24,13:46:25.979963,f,42.73998427391052,0.1260161399841308,18_0_gamma1.0_brightness23.0.jpg,4,18,0,0,1.0,0,23.0,0
2023-08-24,13:46:30.835548,t,47.595568895339966,2.483599901199341,20_Q_gamma0.98_brightness8.3_contrast0.95.jpg,4,20,Q,0.95,0.98,0,8.3,0
2023-08-24,13:46:32.748292,t,49.50831365585327,1.8970346450805664,20_Q_gamma0.98_brightness8.3_contrast0.95.jpg,4,20,Q,0.95,0.98,0,8.3,0
2023-08-24,13:46:50.784930,f,67.54495120048523,2.42070746421814,28_E_contrast1.2_brightness12.0.jpg,4,28,E,1.2,0,0,12.0,0
2023-08-24,13:47:00.528809,t,77.28883051872253,2.177453994750977,31_0_sharpness0.05_contrast1.2.jpg,0,31,0,1.2,0,0.05,0,0
2023-08-24,13:47:02.505470,t,79.25007581710815,1.6306898593902588,32_T_contrast0.84_sharpness0.69.jpg,4,32,T,0.84,0,0.69,0,0
2023-08-24,13:47:10.320166,f,87.08018684387207,1.98366379737854,35_7_gamma1.0_equalization30.0.jpg,4,35,7,0,1.0,0,0,30.0
2023-08-24,13:47:27.700269,f,104.46028971672058,1.834300756454468,42_B_sharpness0.61_contrast1.0_equalization7.0.jpg,4,42,B,1.0,0,0.61,0,7.0
2023-08-24,13:47:35.279819,f,112.0398404598236,1.919538974761963,45_J_sharpness0.67_contrast1.1.jpg,4,45,J,1.1,0,0.67,0,0
2023-08-25,19:49:13.485264,f,8.973198652267456,1.302462100982666,4_T_brightness14.0_sharpness0.8.jpg,4,4,T,0,0,0.8,14.0,0
2023-08-25,19:49:18.609821,f,14.097755193710327,1.3890984058380127,6_S_sharpness0.47_brightness23.0_gamma0.65.jpg,4,6,S,0,0.65,0.47,23.0,0
2023-08-25,19:49:43.526216,f,39.014151096344,1.3166937828063965,16_I_gamma0.83_contrast0.91_equalization28.0.jpg,1,16,I,0.91,0.83,0,0,28.0
2023-08-25,19:49:46.854656,f,42.34259104728699,2.1140637397766118,17_3_sharpness0.85_brightness27.0_contrast0.96.jpg,4,17,3,0.96,0,0.85,27.0,0
2023-08-25,19:49:51.134165,t,46.606645584106445,1.4327006340026855,19_1_sharpness0.89_brightness28.0_contrast1.0.jpg,0,19,1,1.0,0,0.89,28.0,0
2023-08-25,19:49:53.608426,t,49.09636092185974,1.4571726322174072,20_Q_gamma0.98_brightness8.3_contrast0.95.jpg,4,20,Q,0.95,0.98,0,8.3,0
2023-08-25,19:50:10.936453,f,66.424387216568,1.216331958770752,27_P_sharpness0.32_brightness8.2_contrast0.97.jpg,4,27,P,0.97,0,0.32,8.2,0
2023-08-25,19:50:20.882148,t,76.37008237838745,1.158463716506958,31_0_sharpness0.05_contrast1.2.jpg,0,31,0,1.2,0,0.05,0,0
2023-08-25,19:50:23.743071,t,79.23100566864014,1.4699673652648926,32_T_contrast0.84_sharpness0.69.jpg,4,32,T,0.84,0,0.69,0,0
2023-08-25,19:50:30.885792,f,86.37372612953186,1.2284214496612549,35_7_gamma1.0_equalization30.0.jpg,4,35,7,0,1.0,0,0,30.0
2023-08-25,19:50:48.963763,f,104.45169806480408,1.7281386852264404,42_B_sharpness0.61_contrast1.0_equalization7.0.jpg,4,42,B,1.0,0,0.61,0,7.0
2023-08-25,19:50:56.184622,f,111.67255640029909,1.468578815460205,45_J_sharpness0.67_contrast1.1.jpg,4,45,J,1.1,0,0.67,0,0
