trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S03_4_1,S03,4,1,S,filler,9,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\9_day_rain_busy.jpg,,,,,,,M_4_6_S_filler_9_day_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:45:20.591,0.0,0,0,,,S,9,None,1,Correct Rejection,正解(スルー成功)
S03_4_2,S03,4,2,0,unmatch,7,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\7_day_rain_empty.jpg,,,,,,,M_4_22_0_unmatch_7_day_rain_empty_ORIG.jpg,Mismatch,2026-01-06T16:45:23.132,2.540992021560669,152,305,2026-01-06 16:45:24.761466,1.6287269592285156,0,7,b,1,Correct Rejection,正解(不一致)
S03_4_3,S03,4,3,D,filler,4,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\4_day_sun_busy.jpg,,,,,,,M_4_32_D_filler_4_day_sun_busy_BRIGHTONLY.jpg,Ignore,2026-01-06T16:45:25.607,5.016140937805176,301,602,,,D,4,None,1,Correct Rejection,正解(スルー成功)
S03_4_4,S03,4,4,P,filler,1,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,,,,,,,M_4_27_P_filler_1_day_rain_empty_BRIGHTONLY.jpg,Ignore,2026-01-06T16:45:28.092,7.501171112060547,450,900,,,P,1,None,1,Correct Rejection,正解(スルー成功)
S03_4_5,S03,4,5,F,filler,9,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_4_9_F_filler_9_day_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:45:30.615,10.023985624313354,601,1203,,,F,9,None,1,Correct Rejection,正解(スルー成功)
S03_4_6,S03,4,6,7,unmatch,4,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,,,,,,,M_4_5_7_unmatch_4_day_sun_empty_BRIGHTONLY.jpg,Mismatch,2026-01-06T16:45:33.109,12.517858028411865,751,1502,,,7,4,None,0,Omission,無反応(不正解)
S03_4_7,S03,4,7,L,filler,5,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,,,,,,,M_4_38_L_filler_5_day_sun_empty_MODEL.jpg,Ignore,2026-01-06T16:45:35.607,15.015956163406372,901,1802,2026-01-06 16:45:36.685606,1.0779035091400146,L,5,b,0,False Alarm,お手つき(スルー失敗)
S03_4_8,S03,4,8,8,unmatch,9,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_4_14_8_unmatch_9_day_rain_empty_ORIG.jpg,Mismatch,2026-01-06T16:45:38.101,17.525683164596558,1052,2103,,,8,9,None,0,Omission,無反応(不正解)
S03_4_9,S03,4,9,P,filler,0,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,,,,,,,M_4_2_P_filler_0_day_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:45:40.592,20.0012526512146,1200,2400,2026-01-06 16:45:42.076906,1.4839062690734863,P,0,b,0,False Alarm,お手つき(スルー失敗)
S03_4_10,S03,4,10,D,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,,,,,,,M_4_10_D_filler_5_day_rain_busy_BRIGHTONLY.jpg,Ignore,2026-01-06T16:45:43.123,22.531827688217163,1352,2704,,,D,5,None,1,Correct Rejection,正解(スルー成功)
S03_4_11,S03,4,11,9,match,9,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,,,,,,,M_4_19_9_match_9_day_sun_busy_BRIGHTONLY.jpg,Match,2026-01-06T16:45:45.611,25.01984453201294,1501,3002,,,9,9,None,0,Omission,無反応(不正解)
S03_4_12,S03,4,12,L,filler,8,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,,,,,,,M_4_34_L_filler_8_day_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:45:48.106,27.515106916427612,1651,3302,2026-01-06 16:45:49.776716,1.6698622703552246,L,8,t,0,False Alarm,お手つき(スルー失敗)
S03_4_13,S03,4,13,G,filler,8,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,,,,,,,M_4_21_G_filler_8_day_sun_empty_MODEL.jpg,Ignore,2026-01-06T16:45:50.608,30.016258001327515,1801,3602,,,G,8,None,1,Correct Rejection,正解(スルー成功)
