trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S04_2_1,S04,2,1,8,unmatch,1,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\1_day_sun_empty.jpg,,,,,,,M_2_27_8_unmatch_1_day_sun_empty_ORIG.jpg,Mismatch,2026-01-09T11:16:17.729,1767924977.7294853,0.0,0,0,2026-01-09T11:16:19.354,1.6252944469451904,8,1,b,1,Correct Rejection,正解(不一致)
S04_2_2,S04,2,2,U,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_2_31_U_filler_9_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T11:16:21.560,1767924981.5606742,3.831188917160034,230,460,,,U,9,None,1,Correct Rejection,正解(スルー成功)
S04_2_3,S04,2,3,P,filler,1,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\1_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_2_33_P_filler_1_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-09T11:16:25.401,1767924985.40157,7.672084808349609,460,921,,,P,1,None,1,Correct Rejection,正解(スルー成功)
S04_2_4,S04,2,4,D,filler,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_2_17_D_filler_7_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Ignore,2026-01-09T11:16:29.244,1767924989.2444818,11.514996528625488,691,1382,,,D,7,None,1,Correct Rejection,正解(スルー成功)
S04_2_5,S04,2,5,E,filler,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\0_day_sun_empty.jpg,,,,,,,M_2_3_E_filler_0_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:16:33.093,1767924993.0937684,15.364283084869385,922,1844,,,E,0,None,1,Correct Rejection,正解(スルー成功)
S04_2_6,S04,2,6,4,unmatch,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_2_45_4_unmatch_5_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Mismatch,2026-01-09T11:16:36.941,1767924996.9412887,19.211803436279297,1153,2305,2026-01-09T11:16:38.473,1.5326964855194092,4,5,b,1,Correct Rejection,正解(不一致)
S04_2_7,S04,2,7,Q,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,brightness,35.62,,,,,M_2_20_Q_filler_1_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T11:16:40.797,1767925000.7974386,23.06795334815979,1384,2768,,,Q,1,None,1,Correct Rejection,正解(スルー成功)
S04_2_8,S04,2,8,2,unmatch,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,,,,,,,M_2_43_2_unmatch_6_day_rain_empty_ORIG.jpg,Mismatch,2026-01-09T11:16:44.642,1767925004.642624,26.91313862800598,1615,3230,2026-01-09T11:16:46.065,1.4231011867523193,2,6,b,1,Correct Rejection,正解(不一致)
S04_2_9,S04,2,9,F,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\4_day_sun_busy.jpg,brightness,45.47,,,,,M_2_14_F_filler_4_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:16:48.488,1767925008.488303,30.758817672729492,1846,3691,,,F,4,None,1,Correct Rejection,正解(スルー成功)
S04_2_10,S04,2,10,2,unmatch,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_2_15_2_unmatch_5_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Mismatch,2026-01-09T11:16:52.334,1767925012.334205,34.60471963882446,2076,4153,2026-01-09T11:16:53.780,1.4465391635894775,2,5,b,1,Correct Rejection,正解(不一致)
S04_2_11,S04,2,11,T,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\1_day_sun_busy.jpg,brightness,45.47,,,,,M_2_38_T_filler_1_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:16:56.206,1767925016.206663,38.47717761993408,2309,4617,,,T,1,None,1,Correct Rejection,正解(スルー成功)
S04_2_12,S04,2,12,S,filler,5,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,,,,,,,M_2_25_S_filler_5_day_sun_busy_ORIG.jpg,Ignore,2026-01-09T11:17:00.038,1767925020.0380614,42.30857610702515,2539,5077,,,S,5,None,1,Correct Rejection,正解(スルー成功)
S04_2_13,S04,2,13,I,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,brightness,40.55,,,,,M_2_11_I_filler_4_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-09T11:17:03.893,1767925023.8933518,46.16386651992798,2770,5540,,,I,4,None,1,Correct Rejection,正解(スルー成功)
