trial_id,folder_name,file_name,task_num,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,front_char,back_char,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
108_0_1,108,0,1,F:\pictures_verify\transformed_verify\roomDark_figureBright\9_light.png,brightness,-38.0,gamma,0.573,equalization,1.993,Mismatch,3,9,Master_0_46_3_9_light_brightness-38_gamma0.573_equalization1.993.jpg,Mismatch,2025-12-22T22:47:00.680,0.0,0,0,,,3,9,None,0,Omission,無反応(不正解)
108_0_2,108,0,2,F:\pictures_verify\transformed_verify\roomDark_figureBright\5_light.png,equalization,1.832,sharpness,1.759,gamma,1.669,Ignore,I,5,Master_0_18_I_5_light_equalization1.832_sharpness1.759_gamma1.669.jpg,Ignore,2025-12-22T22:47:03.195,2.514794111251831,151,302,,,I,5,None,1,Correct Rejection,正解(スルー成功)
108_0_3,108,0,3,F:\pictures_verify\transformed_verify\roomDark_figureBright\4_tunnel.png,blur,4.0,contrast,1.097,sharpness,1.679,Ignore,A,4,Master_0_35_A_4_tunnel_blur4_contrast1.097_sharpness1.679.jpg,Ignore,2025-12-22T22:47:05.691,5.010375738143921,301,601,,,A,4,None,1,Correct Rejection,正解(スルー成功)
108_0_4,108,0,4,F:\pictures_verify\transformed_verify\roomDark_figureBright\5_tanto.png,brightness,0.0,sharpness,0.993,gamma,1.413,Ignore,A,5,Master_0_47_A_5_tanto_brightness0_sharpness0.993_gamma1.413.jpg,Ignore,2025-12-22T22:47:08.189,7.508513927459717,451,901,2025-12-22 22:47:09.972897,1.78365159034729,A,5,b,0,False Alarm,お手つき(スルー失敗)
108_0_5,108,0,5,F:\pictures_verify\transformed_verify\roomDark_figureBright\1_city.png,contrast,1.053,blur,4.0,gamma,0.718,Match,1,1,Master_0_17_1_1_city_contrast1.053_blur4_gamma0.718.jpg,Match,2025-12-22T22:47:10.680,9.999742269515991,600,1200,2025-12-22 22:47:11.566388,0.8859138488769531,1,1,b,0,Miss,ミス(見逃し)
108_0_6,108,0,6,F:\pictures_verify\transformed_verify\roomDark_figureBright\9_tunnel.png,brightness,-3.0,contrast,0.967,gamma,1.46,Ignore,F,9,Master_0_43_F_9_tunnel_brightness-3_contrast0.967_gamma1.46.jpg,Ignore,2025-12-22T22:47:13.208,12.527771711349487,752,1503,2025-12-22 22:47:14.415560,1.207056999206543,F,9,t,0,False Alarm,お手つき(スルー失敗)
108_0_7,108,0,7,F:\pictures_verify\transformed_verify\roomDark_figureBright\0_tunnel.png,contrast,0.841,equalization,3.652,gamma,1.533,Match,0,0,Master_0_21_0_0_tunnel_contrast0.841_equalization3.652_gamma1.533.jpg,Match,2025-12-22T22:47:15.693,15.013144969940186,901,1802,2025-12-22 22:47:17.345095,1.6512176990509033,0,0,b,0,Miss,ミス(見逃し)
108_0_8,108,0,8,F:\pictures_verify\transformed_verify\roomDark_figureBright\9_light.png,gamma,1.744,blur,4.0,sharpness,1.816,Ignore,J,9,Master_0_33_J_9_light_gamma1.744_blur4_sharpness1.816.jpg,Ignore,2025-12-22T22:47:18.181,17.500320196151733,1050,2100,2025-12-22 22:47:19.321950,1.1408984661102295,J,9,t,0,False Alarm,お手つき(スルー失敗)
108_0_9,108,0,9,F:\pictures_verify\transformed_verify\roomDark_figureBright\5_tanto.png,gamma,1.739,equalization,1.961,brightness,-48.0,Ignore,U,5,Master_0_29_U_5_tanto_gamma1.739_equalization1.961_brightness-48.jpg,Ignore,2025-12-22T22:47:20.683,20.003241062164307,1200,2400,2025-12-22 22:47:21.915751,1.2317783832550049,U,5,b,0,False Alarm,お手つき(スルー失敗)
108_0_10,108,0,10,F:\pictures_verify\transformed_verify\roomDark_figureBright\2_light.png,contrast,1.416,sharpness,1.066,blur,3.0,Match,2,2,Master_0_28_2_2_light_contrast1.416_sharpness1.066_blur3.jpg,Match,2025-12-22T22:47:23.189,22.5082950592041,1350,2701,,,2,2,None,0,Omission,無反応(不正解)
108_0_11,108,0,11,F:\pictures_verify\transformed_verify\roomDark_figureBright\2_city.png,gamma,1.686,brightness,-43.0,blur,1.0,Ignore,J,2,Master_0_1_J_2_city_gamma1.686_brightness-43_blur1.jpg,Ignore,2025-12-22T22:47:25.675,24.994767665863037,1500,2999,2025-12-22 22:47:26.040729,0.36522960662841797,J,2,t,0,False Alarm,お手つき(スルー失敗)
108_0_12,108,0,12,F:\pictures_verify\transformed_verify\roomDark_figureBright\7_tunnel.png,brightness,-11.0,equalization,1.954,sharpness,0.102,Mismatch,4,7,Master_0_38_4_7_tunnel_brightness-11_equalization1.954_sharpness0.102.jpg,Mismatch,2025-12-22T22:47:28.182,27.501657247543335,1650,3300,2025-12-22 22:47:28.948567,0.7661776542663574,4,7,b,1,Correct Rejection,正解(不一致)
108_0_13,108,0,13,F:\pictures_verify\transformed_verify\roomDark_figureBright\5_tunnel.png,contrast,1.194,blur,1.0,brightness,44.0,Ignore,F,5,Master_0_8_F_5_tunnel_contrast1.194_blur1_brightness44.jpg,Ignore,2025-12-22T22:47:30.683,30.002365589141846,1800,3600,2025-12-22 22:47:31.228884,0.5457868576049805,F,5,b,0,False Alarm,お手つき(スルー失敗)
108_0_14,108,0,14,F:\pictures_verify\transformed_verify\roomDark_figureBright\9_city.png,sharpness,1.93,gamma,0.747,brightness,46.0,Mismatch,0,9,Master_0_6_0_9_city_sharpness1.93_gamma0.747_brightness46.jpg,Mismatch,2025-12-22T22:47:33.205,32.52479267120361,1951,3903,2025-12-22 22:47:33.850474,0.6449496746063232,0,9,t,0,False Alarm,お手つき(誤反応)
108_0_15,108,0,15,F:\pictures_verify\transformed_verify\roomDark_figureBright\1_tunnel.png,equalization,3.893,gamma,1.418,sharpness,0.471,Ignore,B,1,Master_0_14_B_1_tunnel_equalization3.893_gamma1.418_sharpness0.471.jpg,Ignore,2025-12-22T22:47:35.683,35.002920150756836,2100,4200,2025-12-22 22:47:36.400245,0.7165927886962891,B,1,b,0,False Alarm,お手つき(スルー失敗)
108_0_16,108,0,16,F:\pictures_verify\transformed_verify\roomDark_figureBright\3_city.png,gamma,1.725,sharpness,1.631,equalization,1.159,Ignore,Q,3,Master_0_39_Q_3_city_gamma1.725_sharpness1.631_equalization1.159.jpg,Ignore,2025-12-22T22:47:38.181,37.501266956329346,2250,4500,2025-12-22 22:47:39.221895,1.0398964881896973,Q,3,t,0,False Alarm,お手つき(スルー失敗)
108_0_17,108,0,17,F:\pictures_verify\transformed_verify\roomDark_figureBright\4_city.png,blur,2.0,sharpness,0.405,contrast,0.559,Match,4,4,Master_0_2_4_4_city_blur2_sharpness0.405_contrast0.559.jpg,Match,2025-12-22T22:47:40.683,40.002591133117676,2400,4800,2025-12-22 22:47:41.126364,0.4430413246154785,4,4,t,1,Hit,正解(一致)
