trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S01_7_1,S01,7,1,1,match,1,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,,,,,,,M_7_24_1_match_1_night_rain_busy_ORIG.jpg,Match,2026-01-05T18:57:06.709,0.0,0,0,,,1,1,None,0,Omission,無反応(不正解)
S01_7_2,S01,7,2,F,filler,1,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_7_20_F_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-05T18:57:09.224,2.515080451965332,151,302,2026-01-05 18:57:10.323320,1.0987818241119385,F,1,b,0,False Alarm,お手つき(スルー失敗)
S01_7_3,S01,7,3,C,filler,4,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,brightness,43.12,,,,,M_7_18_C_filler_4_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-05T18:57:11.739,5.029764413833618,302,604,,,C,4,None,1,Correct Rejection,正解(スルー成功)
S01_7_4,S01,7,4,4,unmatch,9,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_7_3_4_unmatch_9_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Mismatch,2026-01-05T18:57:14.233,7.524020195007324,451,903,,,4,9,None,0,Omission,無反応(不正解)
S01_7_5,S01,7,5,Q,filler,7,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_7_21_Q_filler_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-05T18:57:16.742,10.032862663269043,602,1204,2026-01-05 18:57:17.611930,0.8696098327636719,Q,7,b,0,False Alarm,お手つき(スルー失敗)
S01_7_6,S01,7,6,P,filler,4,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,,,,,,,M_7_38_P_filler_4_night_rain_busy_ORIG.jpg,Ignore,2026-01-05T18:57:19.236,12.527093410491943,752,1503,,,P,4,None,1,Correct Rejection,正解(スルー成功)
S01_7_7,S01,7,7,0,unmatch,6,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,brightness,35.62,,,,,M_7_22_0_unmatch_6_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-05T18:57:21.743,15.034062147140503,902,1804,,,0,6,None,0,Omission,無反応(不正解)
S01_7_8,S01,7,8,C,filler,6,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,,,,,,,M_7_1_C_filler_6_night_rain_empty_ORIG.jpg,Ignore,2026-01-05T18:57:24.229,17.520365715026855,1051,2102,2026-01-05 18:57:25.381455,1.1516315937042236,C,6,b,0,False Alarm,お手つき(スルー失敗)
S01_7_9,S01,7,9,U,filler,7,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_23_U_filler_7_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-05T18:57:26.738,20.02876901626587,1202,2403,,,U,7,None,1,Correct Rejection,正解(スルー成功)
S01_7_10,S01,7,10,D,filler,0,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,brightness,46.88,,,,,M_7_33_D_filler_0_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-05T18:57:29.220,22.511512994766235,1351,2701,,,D,0,None,1,Correct Rejection,正解(スルー成功)
