Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
8,pictures\transformed\roomBright_figureDark\7.JPG,gamma,1.184036151835696,contrast,1.309540688742755,sharpness,0.6287535575088266,2,9_7_gamma1.2_contrast1.3_sharpness0.63.jpg,2700,9,7,1.3,1.2,0.63,0,0
15,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.069556506697403,sharpness,0.526246491765801,equalization,15.57989556084135,2,16_T_contrast1.1_sharpness0.53_equalization16.0.jpg,4800,16,T,1.1,0,0.53,0,16.0
16,pictures\transformed\roomBright_figureDark\P.JPG,gamma,0.77804279030035,contrast,0.923265681615706,sharpness,1.290744132188844,1,17_P_gamma0.78_contrast0.92_sharpness1.3.jpg,5100,17,P,0.92,0.78,1.3,0,0
17,pictures\transformed\roomBright_figureDark\I.JPG,contrast,1.008564560594405,sharpness,1.082802807180577,equalization,18.98363092947756,1,18_I_contrast1.0_sharpness1.1_equalization19.0.jpg,5400,18,I,1.0,0,1.1,0,19.0
20,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.8222368870189571,contrast,0.7450839024505911,sharpness,1.208779652491376,0,21_1_gamma0.82_contrast0.75_sharpness1.2.jpg,6300,21,1,0.75,0.82,1.2,0,0
24,pictures\transformed\roomBright_figureDark\3.JPG,gamma,0.7505230528537119,contrast,0.8632227421095002,sharpness,0.977256489085423,2,25_3_gamma0.75_contrast0.86_sharpness0.98.jpg,7500,25,3,0.86,0.75,0.98,0,0
30,pictures\transformed\roomBright_figureDark\Q.JPG,gamma,1.281644280054185,contrast,1.211570953987781,sharpness,0.5031973778821075,2,31_Q_gamma1.3_contrast1.2_sharpness0.5.jpg,9300,31,Q,1.2,1.3,0.5,0,0
33,pictures\transformed\roomBright_figureDark\B.JPG,gamma,1.096459289490149,contrast,1.15749000322429,brightness,27.30731647054274,1,34_B_gamma1.1_contrast1.2_brightness27.0.jpg,10200,34,B,1.2,1.1,0,27.0,0
34,pictures\transformed\roomBright_figureDark\9.JPG,gamma,1.178942001258285,contrast,1.139751889189849,sharpness,0.3782618424502813,0,35_9_gamma1.2_contrast1.1_sharpness0.38.jpg,10500,35,9,1.1,1.2,0.38,0,0
36,pictures\transformed\roomBright_figureDark\B.JPG,gamma,0.5269131270019127,sharpness,0.358479477885505,equalization,15.38554522032113,2,37_B_gamma0.53_sharpness0.36_equalization15.0.jpg,11100,37,B,0,0.53,0.36,0,15.0
38,pictures\transformed\roomBright_figureDark\B.JPG,gamma,1.247739448621497,contrast,1.095338964302922,sharpness,0.6108313687087854,1,39_B_gamma1.2_contrast1.1_sharpness0.61.jpg,11700,39,B,1.1,1.2,0.61,0,0
39,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.9212069508133874,contrast,1.32174142415008,sharpness,0.5207725259359219,0,40_1_gamma0.92_contrast1.3_sharpness0.52.jpg,12000,40,1,1.3,0.92,0.52,0,0
42,pictures\transformed\roomBright_figureDark\2.JPG,gamma,0.6784430558282778,sharpness,0.4459422988593552,equalization,17.2435467834217,0,43_2_gamma0.68_sharpness0.45_equalization17.0.jpg,12900,43,2,0,0.68,0.45,0,17.0
45,pictures\transformed\roomBright_figureDark\T.JPG,gamma,0.8066538366872373,contrast,0.8933929487812488,sharpness,1.29318788456663,1,46_T_gamma0.81_contrast0.89_sharpness1.3.jpg,13800,46,T,0.89,0.81,1.3,0,0
