,day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,2023-09-02,18:33:02.048767,t,6.445064067840576,1.3495848178863523,3_3_sharpness0.64_contrast1.1_gamma0.87.jpg,0,3,3,1.1,0.87,0.64,0.0,0.0,600.0,713.0,3.809547629756556,1.0,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.962670588775677,contrast,0.820914499196687,equalization,4.542085336680701,0.0,2_0_gamma0.96_contrast0.82_equalization4.5.jpg,2.0,0,0.82,0.96,0.0,0.0,4.5
1,2023-09-02,18:33:04.399242,t,8.795539379119873,1.1908855438232422,4_C_brightness7.8_gamma0.99_sharpness0.9.jpg,4,4,C,0.0,0.99,0.9,7.8,0.0,900.0,1009.0,4.325672431350605,2.0,pictures\transformed\roomBright_figureDark\3.JPG,sharpness,0.6366276310430842,contrast,1.120627749664426,gamma,0.8729439179498746,0.0,3_3_sharpness0.64_contrast1.1_gamma0.87.jpg,3.0,3,1.1,0.87,0.64,0.0,0.0
2,2023-09-02,18:33:54.537035,t,58.93333196640015,1.3299100399017334,24_7_sharpness0.025_gamma0.62_equalization10.0.jpg,4,24,7,0.0,0.62,0.025,0.0,10.0,6900.0,7030.0,3.741589438705708,22.0,pictures\transformed\roomBright_figureDark\2.JPG,brightness,1.682167774916138,contrast,0.9990546933345948,sharpness,0.4969702658169888,0.0,23_2_brightness1.7_contrast1.0_sharpness0.5.jpg,23.0,2,1.0,0.0,0.5,1.7,0.0
3,2023-09-02,18:34:19.435219,t,83.83151650428772,1.2405099868774414,34_3_sharpness0.012_gamma0.95_equalization4.4.jpg,4,34,3,0.0,0.95,0.012,0.0,4.4,9900.0,10009.0,4.170396715550679,32.0,pictures\transformed\roomBright_figureDark\3.JPG,gamma,0.6644215871012132,sharpness,0.5293051829588563,equalization,27.70164669217828,0.0,33_3_gamma0.66_sharpness0.53_equalization28.0.jpg,33.0,3,0.0,0.66,0.53,0.0,28.0
4,2023-09-02,18:34:34.390889,t,98.78718566894533,1.206033706665039,40_8_contrast1.1_brightness25.0_sharpness0.32.jpg,0,40,8,1.1,0.0,0.32,25.0,0.0,11700.0,11817.0,3.981476250070727,38.0,pictures\transformed\roomBright_figureDark\2.JPG,sharpness,0.2480440545784176,brightness,23.99921925093005,contrast,0.9731963833458596,0.0,39_2_sharpness0.25_brightness24.0_contrast0.97.jpg,39.0,2,0.97,0.0,0.25,24.0,0.0
5,2023-09-02,18:34:36.901568,t,101.29786586761476,1.1946308612823486,41_9_sharpness0.81_brightness2.1_gamma1.1.jpg,4,41,9,0.0,1.1,0.81,2.1,0.0,12000.0,12105.0,4.612612991229069,39.0,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.102352434772901,brightness,24.76775435175895,sharpness,0.3226092360594798,0.0,40_8_contrast1.1_brightness25.0_sharpness0.32.jpg,40.0,8,1.1,0.0,0.32,25.0,0.0
6,2023-09-02,18:34:41.850500,f,106.24543333053587,1.123133420944214,43_7_gamma1.0_contrast0.82_equalization8.7.jpg,0,43,7,0.82,1.0,0.0,0.0,8.7,12600.0,12705.0,4.202760704039958,41.0,pictures\transformed\roomBright_figureDark\B.JPG,contrast,1.067495581894644,sharpness,0.1421861201830956,equalization,28.06817260884711,2.0,42_B_contrast1.1_sharpness0.14_equalization28.0.jpg,42.0,B,1.1,0.0,0.14,0.0,28.0
7,2023-09-02,18:34:44.408284,t,108.80458092689514,1.2062089443206787,44_C_brightness13.0_sharpness0.86_gamma0.6.jpg,4,44,C,0.0,0.6,0.86,13.0,0.0,12900.0,13013.0,3.842806927317826,42.0,pictures\transformed\roomBright_figureDark\7.JPG,gamma,1.043949746986601,contrast,0.8218153814005027,equalization,8.691400752968143,0.0,43_7_gamma1.0_contrast0.82_equalization8.7.jpg,43.0,7,0.82,1.0,0.0,0.0,8.7
8,2023-09-02,18:34:54.427549,t,118.82384634017944,1.1603949069976809,48_7_gamma0.83_brightness19.0_contrast0.92.jpg,4,48,7,0.92,0.83,0.0,19.0,0.0,14100.0,14218.0,4.026452994227913,46.0,pictures\transformed\roomBright_figureDark\C.JPG,brightness,1.781632474955186,gamma,0.8000589494417816,contrast,1.017029144758278,1.0,47_C_brightness1.8_gamma0.8_contrast1.0.jpg,47.0,C,1.0,0.8,0.0,1.8,0.0
9,2023-09-02,18:34:54.882043,f,119.27834010124208,1.6148886680603027,48_7_gamma0.83_brightness19.0_contrast0.92.jpg,4,48,7,0.92,0.83,0.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,
