trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S01_2_1,S01,2,1,2,unmatch,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,,,,,,,M_2_43_2_unmatch_6_day_rain_empty_ORIG.jpg,Mismatch,2026-01-08T10:34:17.486,1767836057.4862,0.0,0,0,2026-01-08T10:34:18.767,1.2816078662872314,2,6,b,1,Correct Rejection,正解(不一致),0,5.082,4.602,4.8420000000000005,7719.025,0.12955004032245004,5.085,4.592666666666667,4.8388333333333335,,0.0,2.2114793469943783,38.0
S01_2_2,S01,2,2,C,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_2_4_C_filler_8_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Ignore,2026-01-08T10:34:22.622,1767836062.6223063,5.136106252670288,308,616,,,C,8,,1,Correct Rejection,正解(スルー成功),616,3.683,3.258,3.4705,1652.243,0.605237849396245,3.6824,3.2380000000000004,3.4602000000000004,1636.3626,0.0,,
S01_2_3,S01,2,3,G,filler,1,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_2_28_G_filler_1_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:34:27.721,1767836067.7215395,10.235339403152466,614,1228,,,G,1,,1,Correct Rejection,正解(スルー成功),1228,3.825,3.45,3.6375,4610.433,0.21689936715271646,3.8308,3.4588,3.6448,4547.2916,0.0,,
S01_2_4,S01,2,4,E,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\1_day_sun_busy.jpg,brightness,45.47,,,,,M_2_42_E_filler_1_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T10:34:32.819,1767836072.8191133,15.332913160324097,920,1840,,,E,1,,1,Correct Rejection,正解(スルー成功),1840,3.988,3.766,3.877,2466.614,0.4054140615434762,3.988,3.7622999999999998,3.8751499999999997,2443.0638000000004,0.0,,
S01_2_5,S01,2,5,6,match,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,brightness,35.62,,,,,M_2_30_6_match_6_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Match,2026-01-08T10:34:37.919,1767836077.9191103,20.43291020393372,1226,2452,2026-01-08T10:34:39.274,1.355628252029419,6,6,t,1,Hit,正解(一致),2452,3.916,3.62,3.768,5996.764,0.16675660406179066,3.915,3.6438,3.7794,4424.2682,0.0,3.600253384315691,2508.0
S01_2_6,S01,2,6,P,filler,2,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_2_48_P_filler_2_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Ignore,2026-01-08T10:34:43.019,1767836083.0199776,25.533777475357056,1532,3064,,,P,2,,1,Correct Rejection,正解(スルー成功),3064,4.194,3.896,4.045,10400.666,0.09614768900376189,4.179,3.9262,4.0526,,0.0,,
S01_2_7,S01,2,7,3,unmatch,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\7_day_rain_empty.jpg,,,,,,,M_2_34_3_unmatch_7_day_rain_empty_ORIG.jpg,Mismatch,2026-01-08T10:34:48.126,1767836088.1262605,30.64006018638611,1838,3677,2026-01-08T10:34:49.387,1.260856866836548,3,7,b,1,Correct Rejection,正解(不一致),3677,4.159,3.992,4.0755,2714.033,0.36845535776462557,4.1652000000000005,3.9792,4.0722000000000005,2712.3014000000003,0.0,9.05370825312789,3731.0
S01_2_8,S01,2,8,I,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\1_day_rain_busy.jpg,brightness,36.09,,,,,M_2_46_I_filler_1_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-08T10:34:53.238,1767836093.2380643,35.751864433288574,2145,4290,,,I,1,,1,Correct Rejection,正解(スルー成功),4290,3.876,3.686,3.7809999999999997,4529.724,0.22076400239838012,3.8896,3.7242000000000006,3.8069000000000006,4848.6640800000005,0.0,3.5831869603233635,4443.0
S01_2_9,S01,2,9,6,match,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\6_day_sun_empty.jpg,brightness,40.55,,,,,M_2_41_6_match_6_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Match,2026-01-08T10:34:58.363,1767836098.3635397,40.87733960151672,2453,4905,2026-01-08T10:34:59.938,1.5747995376586914,6,6,t,1,Hit,正解(一致),4905,4.135,3.775,3.955,3303.5,0.3027092477675193,4.1293,3.7836,3.95645,3145.8908,0.0,4.853638427724957,4999.0
S01_2_10,S01,2,10,L,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\3_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_2_18_L_filler_3_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T10:35:03.469,1767836103.4698875,45.98368740081787,2759,5518,,,L,3,,1,Correct Rejection,正解(スルー成功),5518,3.674,3.42,3.5469999999999997,2040.692,0.49002985261862153,3.6713999999999998,3.6064,3.6388999999999996,1926.1977999999995,0.0,,
S01_2_11,S01,2,11,S,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_2_10_S_filler_3_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:35:08.586,1767836108.586272,51.10007190704346,3066,6132,,,S,3,,1,Correct Rejection,正解(スルー成功),6132,3.722,3.408,3.565,2971.675,0.33651055381224393,3.751,3.3802,3.5656,2942.0402000000004,0.0,,
S01_2_12,S01,2,12,3,match,3,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,35.62,,,,,M_2_9_3_match_3_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Match,2026-01-08T10:35:13.696,1767836113.6968267,56.21062660217285,3373,6745,2026-01-08T10:35:15.074,1.3773880004882812,3,3,t,1,Hit,正解(一致),6745,3.451,3.167,3.309,1829.14,0.5467050089112916,3.4519999999999995,3.1732,3.3125999999999998,1848.8069,0.0,4.236456291227628,6820.0
S01_2_13,S01,2,13,Q,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\4_day_rain_busy.jpg,brightness,36.09,,,,,M_2_29_Q_filler_4_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-08T10:35:18.799,1767836118.7992263,61.313026428222656,3679,7358,,,Q,4,,1,Correct Rejection,正解(スルー成功),7358,3.915,3.64,3.7775,3176.028,0.31485868512494225,3.9230000000000005,3.5832,3.7531000000000003,3149.2706,0.0,,
S01_2_14,S01,2,14,U,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_2_31_U_filler_9_day_rain_empty_ORIG.jpg,Ignore,2026-01-08T10:35:23.898,1767836123.8980136,66.41181349754333,3985,7969,,,U,9,,1,Correct Rejection,正解(スルー成功),7969,3.905,3.681,3.793,2423.825,0.412571039575877,3.9068000000000005,3.6702,3.7885,2537.8342000000002,0.0,,
S01_2_15,S01,2,15,I,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,brightness,40.55,,,,,M_2_11_I_filler_4_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T10:35:29.001,1767836129.0014324,71.51523232460022,4291,8582,,,I,4,,1,Correct Rejection,正解(スルー成功),8582,4.468,3.917,4.1925,6078.926,0.16450274275422994,4.468400000000001,3.9134,4.190900000000001,4909.1089999999995,0.0,,
S01_2_16,S01,2,16,7,unmatch,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,,,,,,,M_2_12_7_unmatch_9_day_sun_busy_ORIG.jpg,Mismatch,2026-01-08T10:35:34.103,1767836134.1038485,76.6176483631134,4597,9194,2026-01-08T10:35:35.476,1.3730428218841553,7,9,b,1,Correct Rejection,正解(不一致),9194,3.174,2.923,3.0484999999999998,1851.732,0.5400349510620327,3.1732666666666667,2.9448,3.0590333333333333,1769.057,0.0,6.4760038286813515,9263.0
S01_2_17,S01,2,17,J,filler,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,,,,,,,M_2_7_J_filler_0_day_rain_empty_ORIG.jpg,Ignore,2026-01-08T10:35:39.197,1767836139.197995,81.71179485321045,4903,9805,,,J,0,,1,Correct Rejection,正解(スルー成功),9805,3.841,3.532,3.6865,2808.934,0.35600694071131606,3.8378,3.522,3.6799,2765.4118000000003,0.0,,
