trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S06_3_1,S06,3,1,D,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_29_D_filler_5_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T19:56:10.770,1767956170.770563,0.0,0,0,,,D,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,0,4.982,5.108,5.045,17319.577,0.05773813067143614,5.008166666666667,5.06475,5.036458333333334,,0.0,,
S06_3_2,S06,3,2,0,match,0,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,brightness,36.09,,,,,M_3_17_0_match_0_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Match,2026-01-09T19:56:13.371,1767956173.371595,2.60103178024292,156,312,2026-01-09T19:56:14.863,1.4917559623718262,0,0,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Bright\S06\3\M_3_17_0_match_0_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,M_3_17_0_match_0_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,312,4.597,4.679,4.638,12635.218,0.0791438659784105,4.6164000000000005,4.6622,4.6393,,0.0,2.5226180192820125,400.0
S06_3_3,S06,3,3,B,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,35.62,,,,,M_3_10_B_filler_5_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T19:56:15.977,1767956175.9770288,5.20646595954895,312,625,,,B,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,625,3.778,3.663,3.7205,2827.469,0.35367319677068076,3.7558,3.6683999999999997,3.7120999999999995,2690.6995285714283,0.0,,
S06_3_4,S06,3,4,4,match,4,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\4_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_1_4_match_4_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-09T19:56:18.581,1767956178.581613,7.811050176620483,469,937,2026-01-09T19:56:19.992,1.410606861114502,4,4,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Bright\S06\3\M_3_1_4_match_4_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,M_3_1_4_match_4_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,937,4.087,4.417,4.252,4018.873,0.2488259768347992,4.086499999999999,4.3522,4.2193499999999995,4249.263800000001,0.0,2.960637709370613,1018.0
S06_3_5,S06,3,5,C,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,brightness,45.47,,,,,M_3_6_C_filler_2_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T19:56:21.186,1767956181.186105,10.415542125701904,625,1250,,,C,2,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,1250,3.682,3.687,3.6845,1992.594,0.5018583815870167,3.7112000000000003,3.6742,3.6927000000000003,2191.1502,0.0,,
S06_3_6,S06,3,6,B,filler,1,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\1_day_rain_busy.jpg,,,,,,,M_3_14_B_filler_1_day_rain_busy_ORIG.jpg,Ignore,2026-01-09T19:56:23.796,1767956183.796101,13.025538206100464,782,1563,,,B,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,1563,4.141,4.261,4.2010000000000005,4940.782,0.202397110416934,4.1598999999999995,4.2868,4.22335,4969.8679999999995,0.0,,
S06_3_7,S06,3,7,9,match,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_3_3_9_match_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-09T19:56:26.399,1767956186.399952,15.62938904762268,938,1876,2026-01-09T19:56:27.754,1.3544809818267822,9,9,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Bright\S06\3\M_3_3_9_match_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,M_3_3_9_match_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,1876,4.212,4.185,4.198499999999999,3282.65,0.3046319284724232,4.115399999999999,4.1472,4.1312999999999995,3136.3426,0.0,3.0768506197812817,1953.0
S06_3_8,S06,3,8,S,filler,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,,,,,,,M_3_15_S_filler_0_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T19:56:28.995,1767956188.9959474,18.22538447380066,1094,2187,,,S,0,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,2187,3.479,3.359,3.419,1815.877,0.5506980924368776,3.5319000000000003,3.4647999999999994,3.49835,1705.4189999999999,0.0,,
S06_3_9,S06,3,9,I,filler,5,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,,,,,,,M_3_39_I_filler_5_day_rain_busy_ORIG.jpg,Ignore,2026-01-09T19:56:31.592,1767956191.5921671,20.82160425186157,1249,2499,,,I,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,2499,4.098,4.25,4.1739999999999995,3180.542,0.3144118203752694,4.1281,4.2606,4.19435,3413.6716,0.0,,
S06_3_10,S06,3,10,8,unmatch,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\6_day_sun_busy.jpg,brightness,45.47,,,,,M_3_36_8_unmatch_6_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Mismatch,2026-01-09T19:56:34.182,1767956194.1828244,23.412261486053467,1405,2809,2026-01-09T19:56:35.698,1.5157489776611328,8,6,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Bright\S06\3\M_3_36_8_unmatch_6_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,M_3_36_8_unmatch_6_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,2809,4.144,4.135,4.1395,6950.432,0.14387594900575965,4.145099999999999,4.234999999999999,4.190049999999999,3405.5647,0.0,2.7643812641355274,2897.0
S06_3_11,S06,3,11,G,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_3_35_G_filler_5_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Ignore,2026-01-09T19:56:36.779,1767956196.7797337,26.00917077064514,1561,3121,,,G,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,3121,3.593,3.478,3.5355,1955.86,0.5112840387348788,3.624,3.4616,3.5427999999999997,1956.6210999999998,0.0,,
S06_3_12,S06,3,12,A,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_3_30_A_filler_3_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-09T19:56:39.380,1767956199.380076,28.6095130443573,1717,3433,,,A,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,3433,4.06,4.023,4.041499999999999,6221.899,0.16072263468114797,4.0292,4.1046,4.0669,5022.555200000001,0.0,,
S06_3_13,S06,3,13,6,unmatch,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,brightness,40.55,,,,,M_3_24_6_unmatch_5_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Mismatch,2026-01-09T19:56:41.981,1767956201.9814346,31.210871696472168,1873,3745,2026-01-09T19:56:43.417,1.4357998371124268,6,5,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Bright\S06\3\M_3_24_6_unmatch_5_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,M_3_24_6_unmatch_5_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,3745,4.481,4.462,4.4715,5752.193,0.17384673984339538,4.4462,4.459999999999999,4.453099999999999,4936.5968,0.0,2.6676982128137623,3829.0
S06_3_14,S06,3,14,I,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_16_I_filler_3_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T19:56:44.584,1767956204.5847433,33.81418037414551,2029,4058,,,I,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,4058,3.451,3.385,3.418,1679.321,0.5954787679067909,3.4658,3.3727999999999994,3.4193,1690.9968000000001,0.0,,
S06_3_15,S06,3,15,0,unmatch,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\2_day_rain_busy.jpg,,,,,,,M_3_47_0_unmatch_2_day_rain_busy_ORIG.jpg,Mismatch,2026-01-09T19:56:47.188,1767956207.1883006,36.41773772239685,2185,4370,2026-01-09T19:56:48.661,1.4735400676727295,0,2,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Bright\S06\3\M_3_47_0_unmatch_2_day_rain_busy_ORIG.jpg,M_3_47_0_unmatch_2_day_rain_busy_ORIG.jpg,4370,4.214,4.189,4.2015,11360.486,0.08802440318134276,4.16,4.1659999999999995,4.163,,0.0,3.2418007255014323,4495.0
S06_3_16,S06,3,16,J,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,,,,,,,M_3_28_J_filler_3_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T19:56:49.795,1767956209.7951672,39.02460432052612,2341,4683,,,J,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./0_day_nocar.png,0_day_nocar.png,4683,3.646,3.491,3.5685000000000002,2030.771,0.49242381341864744,3.6333999999999995,3.4543999999999997,3.5439,2127.3325999999997,0.0,,
