trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S103_0_1,S103,0,1,6,match,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_22_6_match_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-08T18:40:56.593,1767865256.593238,0.0,0,0,2026-01-08T18:40:58.008,1.4148519039154053,6,6,t,1,Hit,正解(一致),0,7.057,6.601,6.829000000000001,19871.038,0.05032449739163097,,6.533,,,0.0,2.912123595619979,110.0
S103_0_2,S103,0,2,I,filler,0,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,brightness,46.88,,,,,M_0_13_I_filler_0_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T18:40:59.189,1767865259.1895452,2.5963070392608643,156,312,,,I,0,,1,Correct Rejection,正解(スルー成功),312,6.387,5.995,6.191,12868.468,0.07770932794797329,6.396199999999999,6.1905,6.29335,,0.0,,
S103_0_3,S103,0,3,T,filler,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,,,,,,,M_0_41_T_filler_2_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T18:41:01.776,1767865261.7769206,5.183682441711426,311,622,,,T,2,,1,Correct Rejection,正解(スルー成功),622,6.323,6.024,6.173500000000001,12739.734,0.07849457453350282,6.3094,6.0484,6.1789000000000005,,0.0,,
S103_0_4,S103,0,4,F,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,brightness,35.62,,,,,M_0_31_F_filler_2_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T18:41:04.381,1767865264.381816,7.788578033447266,467,935,,,F,2,,1,Correct Rejection,正解(スルー成功),935,6.257,5.96,6.108499999999999,13790.521,0.07251357653565083,6.240600000000001,5.8961,6.068350000000001,,0.0,,
S103_0_5,S103,0,5,2,unmatch,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,,,,,,,M_0_19_2_unmatch_5_night_sun_busy_ORIG.jpg,Mismatch,2026-01-08T18:41:06.971,1767865266.9710584,10.377820253372192,623,1245,2026-01-08T18:41:07.934,0.9639089107513428,2,5,b,1,Correct Rejection,正解(不一致),1245,5.379,5.231,5.305,14166.053,0.07059129314283943,5.405199999999999,5.2018,5.3035,,0.0,2.223536593521375,1294.0
S103_0_6,S103,0,6,F,filler,0,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,brightness,46.88,,,,,M_0_21_F_filler_0_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T18:41:09.561,1767865269.5619164,12.96867823600769,778,1556,,,F,0,,1,Correct Rejection,正解(スルー成功),1556,6.054,5.946,6.0,19412.461,0.05151330374855615,6.0561,5.8344,5.94525,,0.0,,
S103_0_7,S103,0,7,7,unmatch,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,,,,,,,M_0_4_7_unmatch_0_night_rain_busy_ORIG.jpg,Mismatch,2026-01-08T18:41:12.186,1767865272.1866798,15.593441724777222,936,1871,2026-01-08T18:41:13.162,0.975517749786377,7,0,t,0,False Alarm,お手つき(誤反応),1871,5.886,5.775,5.830500000000001,19868.744,0.050330307743660097,5.909000000000001,5.7426,5.825800000000001,,0.0,2.2248025096359134,1929.0
S103_0_8,S103,0,8,G,filler,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\5_night_rain_empty.jpg,,,,,,,M_0_18_G_filler_5_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T18:41:14.783,1767865274.7839534,18.190715312957764,1091,2183,,,G,5,,1,Correct Rejection,正解(スルー成功),2183,6.287,6.008,6.1475,19858.195,0.05035704403144395,6.314400000000001,6.014,6.164200000000001,,0.0,,
S103_0_9,S103,0,9,F,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,brightness,45.47,,,,,M_0_16_F_filler_9_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T18:41:17.378,1767865277.3780477,20.784809589385983,1247,2494,,,F,9,,1,Correct Rejection,正解(スルー成功),2494,6.48,6.2,6.34,19868.356,0.05033129062112638,6.4604,6.0794,6.2699,,0.0,,
S103_0_10,S103,0,10,6,match,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,brightness,46.88,,,,,M_0_30_6_match_6_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Match,2026-01-08T18:41:19.967,1767865279.9677696,23.374531507492065,1402,2805,2026-01-08T18:41:20.934,0.9669744968414308,6,6,t,1,Hit,正解(一致),2805,6.241,6.104,6.172499999999999,18408.168,0.054323711083036616,6.2232,5.9657,6.09445,,0.0,2.493485571518464,2858.0
