trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S110_6_1,S110,6,1,D,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_6_11_D_filler_4_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-11T14:20:15.375,1768108815.3755836,0.0,0,0,,,D,4,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,0,6.868,6.101,6.484500000000001,19943.896,0.05014065456418344,6.553,6.177,6.365,,0.0,,
S110_6_2,S110,6,2,Q,filler,7,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,brightness,35.62,,,,,M_6_33_Q_filler_7_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-11T14:20:17.967,1768108817.96754,2.591956377029419,156,311,,,Q,7,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,311,4.196,4.072,4.134,8519.511,0.11737762883339196,4.1664,4.0832,4.1248000000000005,,0.0,,
S110_6_3,S110,6,3,4,unmatch,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_6_2_4_unmatch_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-11T14:20:20.555,1768108820.5557768,5.180193185806274,311,622,2026-01-11T14:20:21.460,0.90521502494812,4,7,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S110\6\M_6_2_4_unmatch_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,M_6_2_4_unmatch_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,622,4.446,4.105,4.2755,7779.452,0.12854375860921824,4.4392,4.1156,4.2774,,0.0,2.9363849762914924,673.0
S110_6_4,S110,6,4,R,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_6_18_R_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-11T14:20:23.161,1768108823.1612754,7.785691738128662,467,934,,,R,9,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,934,4.193,4.047,4.119999999999999,7459.976,0.1340486886284889,4.1842,4.0786,4.131399999999999,,0.0,,
S110_6_5,S110,6,5,P,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,,,,,,,M_6_46_P_filler_8_night_rain_empty_ORIG.jpg,Ignore,2026-01-11T14:20:25.748,1768108825.7489443,10.373360633850098,622,1245,,,P,8,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,1245,5.513,5.083,5.298,9772.096,0.10233219157896116,5.502133333333333,5.0686,5.2853666666666665,,0.0,1.998629210178046,1354.0
S110_6_6,S110,6,6,0,match,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,,,,,,,M_6_12_0_match_0_night_rain_busy_ORIG.jpg,Match,2026-01-11T14:20:28.345,1768108828.3453374,12.969753742218018,778,1556,2026-01-11T14:20:29.296,0.951385736465454,0,0,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S110\6\M_6_12_0_match_0_night_rain_busy_ORIG.jpg,M_6_12_0_match_0_night_rain_busy_ORIG.jpg,1556,4.489,4.403,4.446,8826.256,0.11329832264099297,4.5268,4.371700000000001,4.44925,,0.0,1.886886510028387,1613.0
S110_6_7,S110,6,7,U,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\2_night_sun_busy.jpg,brightness,43.12,,,,,M_6_23_U_filler_2_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-11T14:20:30.931,1768108830.931659,15.55607533454895,933,1867,,,U,2,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,1867,4.798,4.604,4.7010000000000005,7957.403,0.12566914105016422,4.9042,4.6008000000000004,4.7525,,0.0,,
S110_6_8,S110,6,8,2,unmatch,0,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,brightness,35.62,,,,,M_6_6_2_unmatch_0_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-11T14:20:33.521,1768108833.5214677,18.145884037017822,1089,2178,2026-01-11T14:20:34.473,0.9520511627197266,2,0,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S110\6\M_6_6_2_unmatch_0_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,M_6_6_2_unmatch_0_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,2178,4.607,4.45,4.5285,8348.672,0.1197795290077272,4.630599999999999,4.428800000000001,4.5297,,0.0,,
S110_6_9,S110,6,9,Q,filler,9,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\9_night_sun_empty.jpg,,,,,,,M_6_7_Q_filler_9_night_sun_empty_ORIG.jpg,Ignore,2026-01-11T14:20:36.107,1768108836.1079426,20.73235893249512,1244,2488,,,Q,9,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,2488,4.782,4.496,4.639,8400.713,0.11903751502997424,4.7822000000000005,4.5024,4.6423000000000005,,0.0,,
S110_6_10,S110,6,10,F,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,brightness,43.12,,,,,M_6_5_F_filler_5_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-11T14:20:38.698,1768108838.698297,23.322713375091556,1399,2799,,,F,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,2799,5.481,5.015,5.247999999999999,7782.722,0.12848974947325628,5.474399999999999,5.1691,5.32175,,0.0,,
S110_6_11,S110,6,11,B,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_6_32_B_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-11T14:20:41.285,1768108841.2852242,25.909640550613403,1555,3109,,,B,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,3109,5.473,5.442,5.4575,11108.786,0.09001883734190216,5.516800000000001,5.383,5.4499,,0.0,,
S110_6_12,S110,6,12,2,unmatch,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,,,,,,,M_6_22_2_unmatch_0_night_sun_empty_ORIG.jpg,Mismatch,2026-01-11T14:20:43.885,1768108843.8854403,28.509856700897217,1711,3421,2026-01-11T14:20:44.822,0.9375474452972412,2,0,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S110\6\M_6_22_2_unmatch_0_night_sun_empty_ORIG.jpg,M_6_22_2_unmatch_0_night_sun_empty_ORIG.jpg,3421,5.953,5.645,5.7989999999999995,19928.796,0.050178646015544545,5.9226,5.5878,5.7552,,0.0,,
