trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min,BL_stim120_frame_start,BL_stim120_frame_end,BL_stim120_pupil_both,BL_stim120_change_rate_mean,BL_stim120_change_rate_min,BL_onset120_frame_start,BL_onset120_frame_end,BL_onset120_pupil_both,BL_onset120_change_rate_mean,BL_onset120_change_rate_min,BL_stim_to_onset_frame_start,BL_stim_to_onset_frame_end,BL_stim_to_onset_pupil_both,BL_stim_to_onset_change_rate_mean,BL_stim_to_onset_change_rate_min
S01_1_1,S01,1,1,Q,filler,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_1_12_Q_filler_6_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:28:20.028,1767835700.0284915,0.0,0,0,,,Q,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_2,S01,1,2,7,match,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,,,,,,,M_1_2_7_match_7_day_sun_busy_ORIG.jpg,Match,2026-01-08T10:28:25.128,1767835705.1286795,5.10018801689148,306,612,2026-01-08T10:28:26.457,1.3283531665802002,7,7,t,1,Hit,正解(一致),True,False,,612.0,1211.0,0.0,671.0,684.0,5.317578616100782,5.317578616100782,821.0,492.0,611.0,671.0,821.0,3.7023667261904762,2.786768888888889,3.2445678075396827,3.417452317880795,3.1045503311258273,3.261001324503311,2.9078,2.6336,2.7731,677.0,679.0,677.0,0.07695466964258345,-0.11403221971651933,-0.0050649325082497915,0.21461048700814142,0.054962896097910365,0.145309895032581,612.0,731.0,2.9019325,-0.1237343820034791,0.04439541581342782,551.0,670.0,3.112312668650794,-0.04777433107868771,0.10899054971807985,612.0,670.0,2.843826271186441,-0.1466949853947391,0.024870109648763464
S01_1_3,S01,1,3,U,filler,0,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\0_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_1_30_U_filler_0_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T10:28:30.228,1767835710.2284672,10.199975728988647,612,1224,,,U,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_4,S01,1,4,C,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_1_26_C_filler_8_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:28:35.326,1767835715.3269684,15.298476934432983,918,1836,,,C,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_5,S01,1,5,9,match,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_1_41_9_match_9_day_rain_empty_ORIG.jpg,Match,2026-01-08T10:28:40.428,1767835720.4284277,20.399936199188232,1224,2448,2026-01-08T10:28:42.034,1.6065447330474854,9,9,t,1,Hit,正解(一致),True,False,,2448.0,3047.0,0.0,2524.0,2563.0,5.167049986715153,5.167049986715153,2674.0,2328.0,2447.0,2524.0,2674.0,4.144936666666667,3.858569166666667,4.001752916666666,3.984209271523178,3.537473509933775,3.7608413907284772,3.8668,3.4467999999999996,3.6978,2598.0,2539.0,2587.0,0.03877680362067995,0.08321625008222394,0.06020149943161917,0.06710275428414277,0.10671550745386418,0.07595494349507444,2448.0,2567.0,3.877626388888889,0.030117650966852358,0.04637537783530948,2404.0,2523.0,3.9951538888888884,0.058649179650393145,0.07442864459260842,2448.0,2523.0,3.945686403508771,0.046847365420606454,0.06282465917421459
S01_1_6,S01,1,6,L,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_1_34_L_filler_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T10:28:45.537,1767835725.5371356,25.508644104003903,1531,3061,,,L,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_7,S01,1,7,Q,filler,8,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\8_day_rain_busy.jpg,,,,,,,M_1_48_Q_filler_8_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T10:28:50.648,1767835730.6484125,30.6199209690094,1837,3674,,,Q,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_8,S01,1,8,3,match,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_1_31_3_match_3_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-08T10:28:55.750,1767835735.7503564,35.72186493873596,2143,4287,2026-01-08T10:28:56.948,1.198333978652954,3,3,t,1,Hit,正解(一致),True,False,,4287.0,4886.0,0.0,4335.0,4349.0,9.762950074009423,9.762950074009423,4485.0,4167.0,4286.0,4335.0,4485.0,3.955129166666666,3.5059933333333335,3.73056125,3.578149227373068,3.2321867549668877,3.4051679911699777,3.3811999999999998,2.9572000000000003,3.1963,4409.0,4391.0,4390.0,0.09531419162507707,0.07809671962670946,0.08722367414019067,0.14511009438166259,0.1565300561514663,0.14321203009332714,4287.0,4406.0,3.470655972222222,0.018869049994117735,0.0790501779542716,4215.0,4334.0,3.7568766666666664,0.0936173067956331,0.1492134867349917,4287.0,4334.0,3.7082312499999994,0.08172717352242306,0.13805267673098856
S01_1_9,S01,1,9,F,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\1_day_sun_empty.jpg,brightness,40.55,,,,,M_1_28_F_filler_1_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T10:29:00.865,1767835740.8659718,40.837480306625366,2450,4900,,,F,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_1_10,S01,1,10,B,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_1_15_B_filler_3_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T10:29:05.989,1767835745.989761,45.96126961708069,2758,5515,,,B,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
