trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min,BL_stim120_frame_start,BL_stim120_frame_end,BL_stim120_pupil_both,BL_stim120_change_rate_mean,BL_stim120_change_rate_min,BL_onset120_frame_start,BL_onset120_frame_end,BL_onset120_pupil_both,BL_onset120_change_rate_mean,BL_onset120_change_rate_min,BL_stim_to_onset_frame_start,BL_stim_to_onset_frame_end,BL_stim_to_onset_pupil_both,BL_stim_to_onset_change_rate_mean,BL_stim_to_onset_change_rate_min
S103_4_1,S103,4,1,T,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_4_33_T_filler_7_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:50:53.386,1767865853.3861284,0.0,0,0,,,T,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_2,S103,4,2,C,filler,0,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\0_night_sun_busy.jpg,brightness,43.12,,,,,M_4_4_C_filler_0_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:50:56.007,1767865856.0070465,2.620918035507202,157,315,,,C,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_3,S103,4,3,I,filler,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_18_I_filler_1_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T18:50:58.592,1767865858.5929778,5.2068493366241455,312,625,,,I,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_4,S103,4,4,E,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,brightness,43.12,,,,,M_4_1_E_filler_4_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:01.214,1767865861.2148674,7.828738927841186,470,939,,,E,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_5,S103,4,5,6,match,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_4_12_6_match_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-08T18:51:03.803,1767865863.8030336,10.416905164718628,625,1250,2026-01-08T18:51:04.944,1.141894817352295,6,6,b,0,Miss,ミス(見逃し),True,False,,1250.0,1549.0,0.0,1300.0,1335.0,3.7772516512246854,3.7772516512246854,1450.0,1130.0,1249.0,1300.0,1450.0,5.202386666666667,5.114034166666667,5.158210416666666,4.998852317880795,4.632528918322296,4.815690618101546,4.5816,4.2244,4.418699999999999,1383.0,1366.0,1380.0,0.03912326434518627,0.09415370188232762,0.0664028356537,0.11932728311877383,0.17395937095323155,0.14336569409367994,1250.0,1369.0,5.078860277777778,0.05181667643579682,0.1299819726615176,1180.0,1299.0,5.288409166666666,0.0893876653010718,0.1644557255797309,1250.0,1299.0,5.359986,0.10154791111365853,0.17561351839351833
S103_4_6,S103,4,6,B,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_4_20_B_filler_6_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T18:51:06.392,1767865866.3923657,13.006237030029297,780,1561,,,B,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_7,S103,4,7,1,match,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_4_16_1_match_1_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-08T18:51:08.995,1767865868.9956782,15.60954976081848,937,1873,2026-01-08T18:51:10.535,1.53985595703125,1,1,b,0,Miss,ミス(見逃し),True,False,,1873.0,2172.0,0.0,1935.0,1965.0,3.6429044278981344,3.6429044278981344,2085.0,1753.0,1872.0,1935.0,2085.0,5.789970555555556,5.503276666666666,5.646623611111111,4.642378807947019,4.251730463576158,4.44705463576159,4.3919999999999995,3.8609999999999998,4.1292,1998.0,2012.0,2000.0,0.1982033823138196,0.22741836889123176,0.2124400452314683,0.2414469196590619,0.29841797280771515,0.2687311419385577,1873.0,1992.0,4.869094861111111,0.0866773471020881,0.1519573724103353,1815.0,1934.0,5.4714140277777785,0.18722022987396436,0.24531392085546858,1873.0,1934.0,5.35615376344086,0.16972984119396406,0.22907366323491232
S103_4_8,S103,4,8,A,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_4_48_A_filler_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:11.616,1767865871.6162007,18.230072259902958,1094,2188,,,A,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_9,S103,4,9,6,unmatch,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_4_32_6_unmatch_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-08T18:51:14.212,1767865874.2124045,20.826276063919067,1250,2499,2026-01-08T18:51:15.309,1.0973916053771973,6,2,b,1,Correct Rejection,正解(不一致),True,False,,2499.0,2798.0,0.0,2545.0,2591.0,3.2807452635790866,3.2807452635790866,2695.0,2379.0,2498.0,2545.0,2695.0,5.574495,5.2091475,5.3918212500000005,5.129840397350992,4.818509271523179,4.974174834437085,4.7669999999999995,4.4178,4.6253,2615.0,2604.0,2624.0,0.07976589855206757,0.07499081730298893,0.07745924729290964,0.144855273885796,0.15191497265147522,0.14216369839782805,2499.0,2618.0,5.139109722222222,0.032094058445947427,0.09998029814394455,2425.0,2544.0,5.333243055555556,0.06732643109982303,0.13274156984428126,2499.0,2544.0,5.277787318840581,0.05752647199701723,0.12362895270738537
S103_4_10,S103,4,10,A,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,,,,,,,M_4_17_A_filler_8_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T18:51:16.814,1767865876.8146484,23.42851996421814,1406,2811,,,A,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_11,S103,4,11,P,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,,,,,,,M_4_44_P_filler_3_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:51:19.406,1767865879.4069686,26.020840167999268,1561,3123,,,P,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_12,S103,4,12,0,unmatch,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_4_45_0_unmatch_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Mismatch,2026-01-08T18:51:22.009,1767865882.0098617,28.623733282089237,1717,3435,2026-01-08T18:51:23.116,1.106609344482422,0,3,b,1,Correct Rejection,正解(不一致),True,False,,3435.0,3734.0,0.0,3477.0,3521.0,3.435032077562135,3.435032077562135,3627.0,3315.0,3434.0,3477.0,3627.0,5.541485833333334,5.277943333333334,5.409714583333332,4.731762913907285,4.291570198675497,4.511666556291392,4.3546,3.8711999999999995,4.1225,3550.0,3545.0,3545.0,0.1461201821640283,0.1868858895146349,0.16600654493098702,0.21418187631085117,0.2665324814021625,0.23794500865148835,3435.0,3554.0,4.808362916666667,0.06170423603985284,0.14263959034567475,3357.0,3476.0,5.434668750000001,0.16983596170578186,0.24144410825406815,3435.0,3476.0,5.443819047619048,0.17123135122122582,0.24271913450116436
S103_4_13,S103,4,13,T,filler,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_25_T_filler_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T18:51:24.598,1767865884.5986185,31.21249008178711,1873,3745,,,T,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_14,S103,4,14,Q,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,brightness,43.12,,,,,M_4_40_Q_filler_1_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:27.202,1767865887.202011,33.81588292121887,2029,4058,,,Q,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_15,S103,4,15,8,match,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_47_8_match_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-08T18:51:29.788,1767865889.788272,36.40214371681213,2184,4368,2026-01-08T18:51:30.921,1.1333250999450684,8,8,t,1,Hit,正解(一致),True,False,,4368.0,4667.0,0.0,4424.0,4445.0,3.5173257680385497,3.5173257680385497,4574.0,4248.0,4367.0,4424.0,4574.0,5.3271375,5.091366666666667,5.209252083333333,5.155593598233995,4.778777483443708,4.9671855408388526,4.748,4.374599999999999,4.566800000000001,4500.0,4508.0,4507.0,0.03220189112182758,0.061395928379994615,0.04646857910158679,0.10871457701251373,0.14078079886867326,0.12332904475650483,4368.0,4487.0,5.272661527777777,0.057935823365409735,0.13387195898297496,4304.0,4423.0,5.347827777777778,0.07117698115123228,0.14604579844983778,4368.0,4423.0,5.443587202380952,0.08751612564114482,0.16106790794082557
S103_4_16,S103,4,16,I,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,brightness,35.62,,,,,M_4_30_I_filler_2_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T18:51:32.377,1767865892.3777142,38.99158573150635,2339,4679,,,I,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_17,S103,4,17,C,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_4_2_C_filler_7_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:51:34.966,1767865894.9667954,41.58066701889038,2495,4990,,,C,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_18,S103,4,18,6,unmatch,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,,,,,,,M_4_26_6_unmatch_3_night_rain_empty_ORIG.jpg,Mismatch,2026-01-08T18:51:37.557,1767865897.557624,44.17149567604065,2650,5301,2026-01-08T18:51:38.742,1.185008525848389,6,3,b,1,Correct Rejection,正解(不一致),True,False,,5301.0,5600.0,0.0,5357.0,5375.0,3.435565502802585,3.435565502802585,5507.0,5181.0,5300.0,5357.0,5507.0,5.621765092592593,5.522988981481482,5.572377037037037,5.375827152317881,4.945227152317881,5.16052715231788,5.0918,4.6404,4.883900000000001,5429.0,5421.0,5429.0,0.04374745942315647,0.10461035339755871,0.07390919207041793,0.09427023076629276,0.15980277788726227,0.12355176838556417,5301.0,5420.0,5.351593333333333,0.0357026719174201,0.08739328723283638,5237.0,5356.0,5.636922499999999,0.08451337546012365,0.1335875204954474,5301.0,5356.0,5.540991964285714,0.0686636642716878,0.11858742415094246
S103_4_19,S103,4,19,I,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,brightness,43.12,,,,,M_4_28_I_filler_1_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:51:40.150,1767865900.150037,46.76390862464905,2806,5612,,,I,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_20,S103,4,20,8,unmatch,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_4_41_8_unmatch_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-08T18:51:42.742,1767865902.7420487,49.35592031478882,2961,5923,2026-01-08T18:51:43.932,1.190662145614624,8,3,b,1,Correct Rejection,正解(不一致),True,False,,5923.0,6222.0,0.0,5976.0,5994.0,3.399480557474935,3.399480557474935,6126.0,5803.0,5922.0,5976.0,6126.0,5.174185,5.0366775,5.10543125,5.097756953642385,4.755911920529801,4.926834437086093,4.5695,4.4702,4.60425,6114.0,6038.0,6114.0,0.014771030869134866,0.055744204283517985,0.034981729097597114,0.1168657479390474,0.11247047284643488,0.09816629104544289,5923.0,6042.0,5.217899583333334,0.055782052068794406,0.11760471307140748,5856.0,5975.0,5.300057083333333,0.07041860877704192,0.1312829413708357,5923.0,5975.0,5.400724528301886,0.08774565129778895,0.1474754959502287
S103_4_21,S103,4,21,E,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_4_14_E_filler_7_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T18:51:45.357,1767865905.3576994,51.97157096862793,3118,6237,,,E,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_22,S103,4,22,4,match,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,,,,,,,M_4_3_4_match_4_night_sun_empty_ORIG.jpg,Match,2026-01-08T18:51:47.950,1767865907.950219,54.56409049034119,3274,6548,2026-01-08T18:51:49.096,1.1467235088348389,4,4,t,1,Hit,正解(一致),True,False,,6548.0,6847.0,0.0,6597.0,6630.0,3.5328371895936095,3.5328371895936095,6747.0,6428.0,6547.0,6597.0,6747.0,5.563938333333332,5.415965,5.489951666666667,5.803309933774835,5.432992052980133,5.618150993377484,5.541600000000001,5.1664,5.3738,6677.0,6673.0,6673.0,-0.043021972225579366,-0.0031438631859941582,-0.023351631215481315,0.004014842004898413,0.04607950753005228,0.021157138299031854,6548.0,6667.0,5.656356805555555,0.006754491184245328,0.049953851086274086,6477.0,6596.0,5.618461388888889,5.5245642876288374e-05,0.04354597672820767,6548.0,6596.0,5.711344217687075,0.016317213734200607,0.05910066086399714
S103_4_23,S103,4,23,L,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_4_37_L_filler_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T18:51:50.543,1767865910.543232,57.157103538513184,3429,6859,,,L,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_24,S103,4,24,6,match,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_4_38_6_match_6_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-08T18:51:53.143,1767865913.1430523,59.75692391395569,3585,7171,2026-01-08T18:51:54.515,1.3727104663848877,6,6,t,1,Hit,正解(一致),True,False,,7171.0,7470.0,0.0,7227.0,7242.0,3.582327703451611,3.582327703451611,7377.0,7051.0,7170.0,7227.0,7377.0,5.260611666666667,5.1351575,5.197884583333333,4.855799558498895,4.44403178807947,4.649915673289183,4.4864,4.1188,4.318849999999999,7311.0,7303.0,7311.0,0.0769515284188001,0.13458705247512467,0.1054215231714024,0.1471714157447471,0.19792138800027065,0.16911390956080455,7171.0,7290.0,4.956026111111112,0.06176529964917822,0.12856593101529512,7107.0,7226.0,5.187706944444445,0.10366647093108969,0.16748381389872283,7171.0,7226.0,5.143795238095238,0.0960146238225727,0.1603767646086779
S103_4_25,S103,4,25,J,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_4_8_J_filler_7_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T18:51:55.730,1767865915.7305198,62.34439134597778,3741,7481,,,J,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_26,S103,4,26,L,filler,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,,,,,,,M_4_22_L_filler_2_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T18:51:58.318,1767865918.318342,64.93221354484558,3896,7792,,,L,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_27,S103,4,27,4,match,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_4_9_4_match_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-08T18:52:00.907,1767865920.9075873,67.52145886421204,4051,8103,2026-01-08T18:52:02.099,1.191617488861084,4,4,t,1,Hit,正解(一致),True,False,,8103.0,8402.0,0.0,8164.0,8204.0,3.3204919647651594,3.3204919647651594,8314.0,7983.0,8102.0,8164.0,8314.0,5.658495833333334,5.5253725000000005,5.591934166666666,4.8452483443708605,4.396467549668874,4.620857947019868,4.5872,4.09,4.35125,8233.0,8219.0,8221.0,0.14372149647469157,0.20431291289974135,0.17365659013572649,0.18932519610997925,0.25977841312961264,0.22187030993003157,8103.0,8222.0,5.004134166666668,0.0765919151808246,0.1304689572505135,8044.0,8163.0,5.540064166666667,0.16591977854290182,0.2145849092903106,8103.0,8163.0,5.436130327868853,0.14997292774042079,0.199568491267972
S103_4_28,S103,4,28,U,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,brightness,46.88,,,,,M_4_27_U_filler_5_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T18:52:03.503,1767865923.503501,70.11737251281738,4207,8414,,,U,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_29,S103,4,29,G,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_4_42_G_filler_4_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-08T18:52:06.109,1767865926.1095057,72.7233772277832,4363,8727,,,G,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_30,S103,4,30,A,filler,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_4_24_A_filler_0_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T18:52:08.712,1767865928.712135,75.32600665092468,4520,9039,,,A,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_31,S103,4,31,U,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,brightness,45.47,,,,,M_4_21_U_filler_1_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T18:52:11.331,1767865931.3314502,77.94532179832458,4677,9353,,,U,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_4_32,S103,4,32,9,unmatch,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_4_29_9_unmatch_6_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Mismatch,2026-01-08T18:52:13.928,1767865933.9287152,80.54258680343628,4833,9665,2026-01-08T18:52:15.247,1.3185362815856934,9,6,b,1,Correct Rejection,正解(不一致),True,False,,9665.0,9964.0,0.0,9737.0,9774.0,3.671125392696198,3.671125392696198,9887.0,9545.0,9664.0,9737.0,9887.0,5.194863333333333,5.043656666666665,5.11926,4.975353642384105,4.617867328918323,4.796610485651214,4.7432,4.3974,4.5918,9873.0,9807.0,9872.0,0.042255142602255436,0.08442076173867417,0.0630265925834566,0.08694421861595332,0.12813256519575386,0.10303442294394104,9665.0,9784.0,4.951329305555556,0.03124793572722842,0.07261268305304443,9617.0,9736.0,4.975505972222222,0.03595523501926532,0.07711898535835669,9665.0,9736.0,4.877790740740741,0.01664283266838115,0.05863120333393191
