trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min,BL_stim120_frame_start,BL_stim120_frame_end,BL_stim120_pupil_both,BL_stim120_change_rate_mean,BL_stim120_change_rate_min,BL_onset120_frame_start,BL_onset120_frame_end,BL_onset120_pupil_both,BL_onset120_change_rate_mean,BL_onset120_change_rate_min,BL_stim_to_onset_frame_start,BL_stim_to_onset_frame_end,BL_stim_to_onset_pupil_both,BL_stim_to_onset_change_rate_mean,BL_stim_to_onset_change_rate_min
S114_7_1,S114,7,1,0,unmatch,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_27_0_unmatch_3_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Mismatch,2026-01-12T14:58:49.691,1768197529.6918266,0.0,0,0,2026-01-12T14:58:50.876,1.184317111968994,0,3,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S114\7\M_7_27_0_unmatch_3_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,M_7_27_0_unmatch_3_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,True,True,baseline_window_before_emr_start,0.0,299.0,0.0,39.0,134.0,7.750574874960876,7.750574874960876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S114_7_2,S114,7,2,I,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,,,,,,,M_7_41_I_filler_3_night_sun_empty_ORIG.jpg,Ignore,2026-01-12T14:58:52.283,1768197532.2833374,2.591510772705078,155,311,,,I,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S114_7_3,S114,7,3,E,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_7_36_E_filler_6_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-12T14:58:54.888,1768197534.8880858,5.196259260177612,312,624,,,E,6,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S114_7_4,S114,7,4,7,unmatch,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,,,,,,,M_7_37_7_unmatch_3_night_sun_busy_ORIG.jpg,Mismatch,2026-01-12T14:58:57.476,1768197537.476378,7.784551382064819,467,934,2026-01-12T14:58:58.510,1.034073829650879,7,3,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S114\7\M_7_37_7_unmatch_3_night_sun_busy_ORIG.jpg,M_7_37_7_unmatch_3_night_sun_busy_ORIG.jpg,True,False,,934.0,1233.0,0.0,977.0,1056.0,2.0155423985974483,2.0155423985974483,1127.0,814.0,933.0,977.0,1127.0,4.289573333333334,4.5382050000000005,4.413889166666666,4.028934657836645,4.1337008830022075,4.0813177704194255,3.7934000000000005,3.7774,3.8008,1063.0,1056.0,1056.0,0.06076097906319096,0.08913306406338915,0.07534656709524862,0.11566962370771922,0.16764447617505165,0.1388999912586537,934.0,1053.0,4.296595138888889,0.050104178194721564,0.11539256617441097,857.0,976.0,4.479695833333333,0.08892971258217672,0.15154953786854947,934.0,976.0,4.4959116279069775,0.09221574884036626,0.15460971776942575
S114_7_5,S114,7,5,J,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,,,,,,,M_7_9_J_filler_7_night_sun_empty_ORIG.jpg,Ignore,2026-01-12T14:59:00.080,1768197540.0804262,10.388599634170532,623,1247,,,J,7,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S114_7_6,S114,7,6,L,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\5_night_rain_busy.jpg,brightness,45.47,,,,,M_7_5_L_filler_5_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-12T14:59:02.686,1768197542.6861384,12.994311809539797,780,1559,,,L,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S114_7_7,S114,7,7,0,unmatch,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,,,,,,,M_7_29_0_unmatch_5_night_sun_busy_ORIG.jpg,Mismatch,2026-01-12T14:59:05.281,1768197545.2817342,15.5899076461792,935,1871,2026-01-12T14:59:06.131,0.8495500087738037,0,5,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S114\7\M_7_29_0_unmatch_5_night_sun_busy_ORIG.jpg,M_7_29_0_unmatch_5_night_sun_busy_ORIG.jpg,True,False,,1871.0,2170.0,0.0,1897.0,1984.0,2.0206130344308706,2.0206130344308706,2047.0,1751.0,1870.0,1897.0,2047.0,4.1701875,4.402316666666667,4.286252083333333,3.8274708609271526,3.9063245033112586,3.866897682119204,3.6097,3.7287999999999997,3.6807499999999997,1991.0,1996.0,1993.0,0.08218254912347403,0.11266617122547025,0.09783708308821763,0.13440342910240843,0.15299141739765812,0.1412660925118633,1871.0,1990.0,4.0158491666666665,0.0370909061485242,0.08344416156068281,1777.0,1896.0,4.280157916666667,0.09655256712334222,0.14004341156026284,1871.0,1896.0,4.343226923076923,0.1096717370273316,0.15253104081598318
S114_7_8,S114,7,8,T,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,,,,,,,M_7_45_T_filler_1_night_rain_busy_ORIG.jpg,Ignore,2026-01-12T14:59:07.890,1768197547.8907144,18.198887825012207,1092,2184,,,T,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S114_7_9,S114,7,9,5,unmatch,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_7_6_5_unmatch_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-12T14:59:10.504,1768197550.5046017,20.812775135040283,1249,2498,2026-01-12T14:59:11.406,0.9019808769226074,5,4,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S114\7\M_7_6_5_unmatch_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,M_7_6_5_unmatch_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,True,False,,2498.0,2797.0,0.0,2527.0,2563.0,9.927276944891736,9.927276944891736,2677.0,2378.0,2497.0,2527.0,2677.0,4.243416666666667,4.46305,4.353233333333335,3.31185761589404,3.4531512141280354,3.3825044150110375,2.9899999999999998,3.058,3.0271999999999997,2658.0,2633.0,2632.0,0.21953042181558727,0.2262799623288927,0.22299032557921625,0.29537911667092165,0.3148183417169873,0.30460883481243856,2498.0,2617.0,3.7350213888888892,0.09438151409963413,0.18950932677241117,2407.0,2526.0,4.25626625,0.20528834045308203,0.28876629839592405,2498.0,2526.0,4.284775862068965,0.21057611322106665,0.29349863389627273
S114_7_10,S114,7,10,C,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,brightness,43.12,,,,,M_7_13_C_filler_6_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-12T14:59:13.107,1768197553.1079438,23.416117191314697,1405,2810,,,C,6,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
