trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S104_8_1,S104,8,1,7,unmatch,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,,,,,,,M_8_26_7_unmatch_2_night_rain_busy_ORIG.jpg,Mismatch,2026-01-09T12:57:25.005,1767931045.005327,0.0,0,0,2026-01-09T12:57:26.586,1.5809643268585205,7,2,b,1,Correct Rejection,正解(不一致),True,True,baseline_window_before_emr_start,0.0,299.0,0.0,102.0,151.0,2.2063178343322774,2.2063178343322774,,,,,,,,,,,,,,,,,,,,,,,
S104_8_2,S104,8,2,A,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,,,,,,,M_8_45_A_filler_6_night_rain_empty_ORIG.jpg,Ignore,2026-01-09T12:57:27.588,1767931047.5888555,2.583528518676758,155,310,,,A,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_8_3,S104,8,3,R,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,brightness,46.88,,,,,M_8_35_R_filler_8_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-09T12:57:30.181,1767931050.1813133,5.175986289978027,311,621,,,R,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_8_4,S104,8,4,C,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,,,,,,,M_8_34_C_filler_8_night_sun_busy_ORIG.jpg,Ignore,2026-01-09T12:57:32.802,1767931052.8024163,7.797089338302612,468,936,,,C,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_8_5,S104,8,5,9,unmatch,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_8_13_9_unmatch_7_night_rain_empty_ORIG.jpg,Mismatch,2026-01-09T12:57:35.392,1767931055.3925314,10.38720440864563,623,1246,2026-01-09T12:57:36.997,1.605081558227539,9,7,b,1,Correct Rejection,正解(不一致),True,False,,1246.0,1545.0,0.0,1321.0,1409.0,2.76971774636112,2.76971774636112,1471.0,1126.0,1245.0,1321.0,1471.0,6.689085,5.5787425,6.13391375,6.058895364238411,5.005736423841059,5.532315894039735,5.708,4.736400000000001,5.2249,1402.0,1407.0,1403.0,0.09421163518800997,0.10271240806668185,0.09807732558356635,0.14666953701440483,0.1509914644742967,0.1481947394516266
S104_8_6,S104,8,6,S,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_8_37_S_filler_3_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-09T12:57:37.981,1767931057.981586,12.976258993148804,779,1557,,,S,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_8_7,S104,8,7,R,filler,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_44_R_filler_7_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-09T12:57:40.570,1767931060.5703316,15.565004587173462,934,1868,,,R,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_8_8,S104,8,8,J,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,brightness,35.62,,,,,M_8_39_J_filler_6_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T12:57:43.158,1767931063.1582532,18.152926206588745,1089,2178,,,J,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_8_9,S104,8,9,2,unmatch,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_7_2_unmatch_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-09T12:57:45.764,1767931065.7649076,20.759580612182617,1246,2491,2026-01-09T12:57:47.263,1.4981868267059326,2,4,b,1,Correct Rejection,正解(不一致),True,False,,2491.0,2790.0,0.0,2570.0,2647.0,2.5891966067656353,2.5891966067656353,2720.0,2371.0,2490.0,2570.0,2720.0,6.261454166666668,5.253935833333332,5.757695000000001,5.362194701986755,4.459905298013245,4.9110499999999995,4.953799999999999,4.092600000000001,4.5443,2667.0,2712.0,2668.0,0.1436183098595834,0.15113061150888069,0.14704582302466548,0.20884192902474089,0.2210411147325581,0.21074318802923755
S104_8_10,S104,8,10,B,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,,,,,,,M_8_28_B_filler_7_night_sun_empty_ORIG.jpg,Ignore,2026-01-09T12:57:48.367,1767931068.367916,23.36258888244629,1402,2804,,,B,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
