trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S04_9_1,S04,9,1,5,match,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,brightness,36.09,,,,,M_9_5_5_match_5_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Match,2026-01-09T12:02:48.498,1767927768.4982913,0.0,0,0,2026-01-09T12:02:50.075,1.5768389701843262,5,5,t,1,Hit,正解(一致),True,True,baseline_window_before_emr_start,0.0,449.0,0.0,87.0,191.0,2.159919252732281,2.159919252732281,,,,,,,,,,,,,,,,,,,
S04_9_2,S04,9,2,B,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,brightness,40.55,,,,,M_9_36_B_filler_4_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-09T12:02:52.343,1767927772.343748,3.845456838607788,231,461,,,B,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_9_3,S04,9,3,Q,filler,8,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,,,,,,,M_9_32_Q_filler_8_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T12:02:56.188,1767927776.1888146,7.690523386001587,461,923,,,Q,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_9_4,S04,9,4,6,unmatch,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_9_22_6_unmatch_8_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Mismatch,2026-01-09T12:03:00.060,1767927780.06012,11.56182861328125,694,1387,2026-01-09T12:03:01.536,1.47597074508667,6,8,b,1,Correct Rejection,正解(不一致),True,False,,1387.0,1836.0,0.0,1460.0,1545.0,1.934669375953321,1.934669375953321,1267.0,1386.0,1605.0,1614.0,4.330113333333333,3.761016666666667,4.045565,3.99758,3.2804500000000005,3.6390149999999997,3.961,3.2043999999999997,3.5827,0.07679552652201554,0.12777573439805717,0.10049276182684005,0.08524334236055409,0.147996330779355,0.1144129435567096
S04_9_5,S04,9,5,R,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_9_21_R_filler_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T12:03:03.906,1767927783.9067776,15.408486366271973,925,1849,,,R,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_9_6,S04,9,6,U,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,brightness,40.55,,,,,M_9_46_U_filler_4_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-09T12:03:07.767,1767927787.7679615,19.269670248031616,1156,2312,,,U,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_9_7,S04,9,7,4,match,4,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,,,,,,,M_9_8_4_match_4_day_sun_empty_ORIG.jpg,Match,2026-01-09T12:03:11.615,1767927791.615149,23.116857767105103,1387,2774,2026-01-09T12:03:13.195,1.5803868770599363,4,4,t,1,Hit,正解(一致),True,False,,2774.0,3223.0,0.0,2848.0,2932.0,1.8422687986822903,1.8422687986822903,2654.0,2773.0,2992.0,3001.0,3.9571655555555556,3.467203333333333,3.712184444444445,3.82004,3.2534599999999996,3.53675,3.8061999999999996,3.2348,3.5204999999999997,0.03465246870023969,0.061647187310426003,0.04725908614454633,0.038149921562824686,0.06702904646492219,0.0516365625989611
S04_9_8,S04,9,8,D,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_9_12_D_filler_5_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-09T12:03:15.472,1767927795.472239,26.973947763442997,1618,3237,,,D,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_9_9,S04,9,9,9,unmatch,0,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,brightness,36.09,,,,,M_9_40_9_unmatch_0_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Mismatch,2026-01-09T12:03:19.348,1767927799.348663,30.850372076034542,1851,3702,2026-01-09T12:03:20.882,1.5334787368774414,9,0,b,1,Correct Rejection,正解(不一致),True,False,,3702.0,4151.0,0.0,3811.0,3862.0,1.923997804118418,1.923997804118418,3582.0,3701.0,3922.0,3931.0,3.732035000000001,3.2125333333333335,3.472284166666667,3.80412,3.247603333333333,3.5258616666666667,3.785000000000001,3.2367,3.5162000000000004,-0.01931519934834455,-0.010916618245206185,-0.015430044728002005,-0.014191989089062646,-0.007522619739354128,-0.01264753436798695
S04_9_10,S04,9,10,Q,filler,9,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_9_3_Q_filler_9_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-09T12:03:23.196,1767927803.1960926,34.69780135154724,2082,4164,,,Q,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
