trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S104_7_1,S104,7,1,T,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,,,,,,,M_7_45_T_filler_1_night_rain_busy_ORIG.jpg,Ignore,2026-01-09T12:55:00.985,1767930900.9851303,0.0,0,0,,,T,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_2,S104,7,2,G,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,brightness,46.88,,,,,M_7_3_G_filler_5_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-09T12:55:03.593,1767930903.59385,2.6087193489074707,157,313,,,G,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_3,S104,7,3,8,match,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_7_47_8_match_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-09T12:55:06.183,1767930906.183981,5.198850393295288,312,624,2026-01-09T12:55:07.575,1.391881227493286,8,8,t,1,Hit,正解(一致),True,False,,624.0,923.0,0.0,698.0,785.0,2.262936657752889,2.262936657752889,504.0,623.0,845.0,854.0,4.247614166666667,3.3828733333333334,3.81524375,4.03665,3.2285799999999996,3.632615,4.0085999999999995,3.1037999999999997,3.5584999999999996,0.049666508865663254,0.04561014206857696,0.04786817356033939,0.05627021600557345,0.08249594526152336,0.06729419319538903
S104_7_4,S104,7,4,F,filler,2,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_32_F_filler_2_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-09T12:55:08.772,1767930908.7721372,7.787006616592407,467,934,,,F,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_5,S104,7,5,C,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,brightness,43.12,,,,,M_7_13_C_filler_6_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-09T12:55:11.360,1767930911.360617,10.375486373901367,623,1245,,,C,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_6,S104,7,6,4,match,4,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,brightness,45.47,,,,,M_7_11_4_match_4_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-09T12:55:13.956,1767930913.9562588,12.971128225326538,778,1557,2026-01-09T12:55:15.270,1.314687728881836,4,4,t,1,Hit,正解(一致),True,False,,1557.0,1856.0,0.0,1655.0,1745.0,2.5404474018194962,2.5404474018194962,1437.0,1556.0,1805.0,1814.0,4.934502460317461,3.7781772222222227,4.3563398412698415,3.7572999999999994,3.0193200000000004,3.3883099999999993,3.7269999999999994,3.0056000000000003,3.3676999999999997,0.23856558382214813,0.20085273336539855,0.22221173658198085,0.2447060205214239,0.2044841141061703,0.22694277244028338
S104_7_7,S104,7,7,L,filler,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_46_L_filler_8_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-09T12:55:16.544,1767930916.544124,15.558993577957152,934,1867,,,L,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_8,S104,7,8,Q,filler,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,,,,,,,M_7_38_Q_filler_4_night_rain_empty_ORIG.jpg,Ignore,2026-01-09T12:55:19.133,1767930919.133358,18.14822745323181,1089,2178,,,Q,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_9,S104,7,9,I,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,,,,,,,M_7_41_I_filler_3_night_sun_empty_ORIG.jpg,Ignore,2026-01-09T12:55:21.721,1767930921.7215545,20.73642373085022,1244,2488,,,I,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_10,S104,7,10,G,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,brightness,45.47,,,,,M_7_34_G_filler_4_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T12:55:24.325,1767930924.3255534,23.34042286872864,1400,2801,,,G,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_11,S104,7,11,1,match,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_7_17_1_match_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Match,2026-01-09T12:55:26.913,1767930926.913308,25.92817759513855,1556,3111,2026-01-09T12:55:28.659,1.7462806701660156,1,1,t,1,Hit,正解(一致),True,False,,3111.0,3410.0,0.0,3219.0,3296.0,8.315168177446463,8.315168177446463,2991.0,3110.0,3356.0,3365.0,5.1956825,4.256366666666666,4.7260245833333325,4.223440000000001,3.255279999999999,3.73936,4.215999999999999,3.2029999999999994,3.7098999999999998,0.1871250793326958,0.2351974688897417,0.20877263034409016,0.18855703750181058,0.24748024527962031,0.2150061992730147
S104_7_12,S104,7,12,S,filler,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_15_S_filler_0_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-09T12:55:29.504,1767930929.5040717,28.518940925598145,1711,3422,,,S,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_13,S104,7,13,2,match,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,,,,,,,M_7_40_2_match_2_night_rain_empty_ORIG.jpg,Match,2026-01-09T12:55:32.107,1767930932.1077242,31.122593641281128,1867,3735,2026-01-09T12:55:33.496,1.3888790607452393,2,2,t,1,Hit,正解(一致),True,False,,3735.0,4034.0,0.0,3855.0,3950.0,2.0429069248175793,2.0429069248175793,3615.0,3734.0,4010.0,4019.0,5.3896675,4.41494,4.902303749999999,4.77116,3.9543999999999997,4.362779999999999,4.7585999999999995,3.897399999999999,4.330699999999999,0.11475800687148137,0.10431398841207355,0.11005514499178065,0.11708839181637835,0.11722469614536117,0.11659900715046465
S104_7_14,S104,7,14,L,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\5_night_rain_busy.jpg,brightness,45.47,,,,,M_7_5_L_filler_5_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T12:55:34.712,1767930934.7120297,33.72689890861511,2024,4047,,,L,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_15,S104,7,15,0,unmatch,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,,,,,,,M_7_29_0_unmatch_5_night_sun_busy_ORIG.jpg,Mismatch,2026-01-09T12:55:37.321,1767930937.3214073,36.33627676963806,2180,4360,2026-01-09T12:55:38.607,1.2864158153533936,0,5,b,1,Correct Rejection,正解(不一致),True,False,,4360.0,4659.0,0.0,4413.0,4559.0,2.5854093174579225,2.5854093174579225,4240.0,4359.0,4619.0,4628.0,4.7413775000000005,3.8467724999999993,4.294075,4.84194,3.9548699999999997,4.398405,4.8036,3.9437999999999995,4.3736999999999995,-0.021209553552738555,-0.028100829981497585,-0.024296268695819245,-0.013123295919803863,-0.025223092865512657,-0.018542992379033705
S104_7_16,S104,7,16,J,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,,,,,,,M_7_9_J_filler_7_night_sun_empty_ORIG.jpg,Ignore,2026-01-09T12:55:39.911,1767930939.9116144,38.92648386955261,2336,4671,,,J,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S104_7_17,S104,7,17,1,match,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_7_4_1_match_1_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-09T12:55:42.499,1767930942.4996586,41.514528036117554,2491,4982,2026-01-09T12:55:43.936,1.4369609355926514,1,1,t,1,Hit,正解(一致),True,True,no_diopter_onset,4982.0,5281.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
S104_7_18,S104,7,18,G,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,,,,,,,M_7_12_G_filler_8_night_sun_busy_ORIG.jpg,Ignore,2026-01-09T12:55:45.087,1767930945.0879314,44.10280084609985,2646,5292,,,G,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
