trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S102_6_1,S102,6,1,D,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,brightness,45.47,,,,,M_6_13_D_filler_8_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T15:44:56.702,1767854696.7024667,0.0,0,0,,,D,8,None,1,Correct Rejection,正解(スルー成功)
S102_6_2,S102,6,2,E,filler,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,,,,,,,M_6_24_E_filler_0_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T15:44:59.294,1767854699.2948992,2.5924324989318848,156,311,,,E,0,None,1,Correct Rejection,正解(スルー成功)
S102_6_3,S102,6,3,5,match,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,brightness,43.12,,,,,M_6_48_5_match_5_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Match,2026-01-08T15:45:01.891,1767854701.8914926,5.18902587890625,311,623,2026-01-08T15:45:03.246,1.3546488285064697,5,5,t,1,Hit,正解(一致)
S102_6_4,S102,6,4,Q,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_6_4_Q_filler_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T15:45:04.486,1767854704.4864044,7.783937692642212,467,934,,,Q,3,None,1,Correct Rejection,正解(スルー成功)
S102_6_5,S102,6,5,0,unmatch,2,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\2_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_6_39_0_unmatch_2_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-08T15:45:07.090,1767854707.0905738,10.388107061386108,623,1247,2026-01-08T15:45:08.733,1.642974853515625,0,2,b,1,Correct Rejection,正解(不一致)
S102_6_6,S102,6,6,S,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,,,,,,,M_6_47_S_filler_3_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T15:45:09.697,1767854709.6978045,12.995337724685669,780,1559,,,S,3,None,1,Correct Rejection,正解(スルー成功)
S102_6_7,S102,6,7,L,filler,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_6_19_L_filler_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T15:45:12.307,1767854712.3074174,15.604950666427612,936,1873,,,L,0,None,1,Correct Rejection,正解(スルー成功)
S102_6_8,S102,6,8,P,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,,,,,,,M_6_46_P_filler_8_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T15:45:14.912,1767854714.9124389,18.209972143173218,1093,2185,,,P,8,None,1,Correct Rejection,正解(スルー成功)
S102_6_9,S102,6,9,5,unmatch,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,,,,,,,M_6_14_5_unmatch_1_night_sun_empty_ORIG.jpg,Mismatch,2026-01-08T15:45:17.499,1767854717.4995036,20.79703688621521,1248,2496,2026-01-08T15:45:19.642,2.142754554748535,5,1,b,1,Correct Rejection,正解(不一致)
S102_6_10,S102,6,10,C,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,brightness,45.47,,,,,M_6_36_C_filler_3_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T15:45:20.095,1767854720.095954,23.393487215042114,1404,2807,,,C,3,None,1,Correct Rejection,正解(スルー成功)
S102_6_11,S102,6,11,3,match,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_6_35_3_match_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-08T15:45:22.693,1767854722.6932852,25.9908185005188,1559,3119,2026-01-08T15:45:24.106,1.413334608078003,3,3,t,1,Hit,正解(一致)
S102_6_12,S102,6,12,B,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_6_32_B_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T15:45:25.297,1767854725.2976623,28.595195531845093,1716,3431,,,B,1,None,1,Correct Rejection,正解(スルー成功)
S102_6_13,S102,6,13,R,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_6_18_R_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T15:45:27.884,1767854727.884679,31.182212352752686,1871,3742,,,R,9,None,1,Correct Rejection,正解(スルー成功)
S102_6_14,S102,6,14,0,match,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,,,,,,,M_6_42_0_match_0_night_rain_empty_ORIG.jpg,Match,2026-01-08T15:45:30.488,1767854730.4888995,33.78643274307251,2027,4054,2026-01-08T15:45:32.077,1.5890657901763916,0,0,t,1,Hit,正解(一致)
S102_6_15,S102,6,15,U,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\2_night_sun_busy.jpg,brightness,43.12,,,,,M_6_23_U_filler_2_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T15:45:33.093,1767854733.0933626,36.39089584350586,2183,4367,,,U,2,None,1,Correct Rejection,正解(スルー成功)
