特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
center_bL_median,-0.2400111486942308,-0.2334026392321875,4.920800834028069e-19,1421
center_bL_mean,-0.23960097934845176,-0.23308351301902938,5.509669106956504e-19,1421
center_bnL_median,-0.2359268576535573,-0.23364768833449262,4.511191577680609e-19,1421
center_bnL_mean,-0.23576612654906332,-0.23277827431778816,6.137768012650381e-19,1421
center_bnL_entropy,0.18980262253459468,0.15988079346820874,1.3560425778545414e-09,1421
center_bL_entropy,0.15813783516341653,0.11949365158590558,6.281708454834478e-06,1421
center_bL_skewness,0.15620183531517773,0.13756339292262096,1.9314757416460536e-07,1421
center_bL_min,-0.15198199955062366,-0.12666433605468405,1.668975763170523e-06,1421
center_bnL_min,-0.14588531525020107,-0.12855490284635554,1.162366121036615e-06,1421
center_bL_std,-0.1445222324235819,-0.13617043030049455,2.568974813532406e-07,1421
center_bnL_skewness,0.11838235719562641,0.0953350744137505,0.0003196858784593541,1421
center_bL_max,-0.0938755285330467,-0.1089478069332248,3.8624903818377347e-05,1421
center_bnL_max,-0.09175132269614039,-0.09901365704407324,0.00018524029005238116,1421
center_bL_kurtosis,-0.0869101685689751,-0.05680754827556834,0.032252204298107295,1421
center_bnL_kurtosis,-0.06265390943803299,-0.02513279533890881,0.34377866553084224,1421
center_bnL_std,0.03730310531088864,0.029006381771734827,0.27452699050339746,1421
