特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
all_bnL_median,-0.3945993585186323,-0.4176699532883267,1.3312029274593396e-50,1170
all_bnL_mean,-0.3919703286426807,-0.4155023088587842,4.79431222606616e-50,1170
all_bL_median,-0.3735846488382416,-0.4189063910695269,6.382496000179874e-51,1170
all_bL_entropy,-0.3688082716386293,-0.3983970403722783,8.532821623330199e-46,1170
all_bL_mean,-0.368776870836157,-0.40523336956998873,1.828351572527184e-47,1170
all_bL_skewness,0.3085821255401619,0.3308963420826331,2.7154674695434996e-31,1170
all_bnL_entropy,-0.29974636748425226,-0.31878002064050853,4.8072694028024135e-29,1170
all_bnL_skewness,0.287911796350207,0.3220842771385503,1.1993802511455705e-29,1170
all_bL_kurtosis,0.2840297948412013,0.3202290803335637,2.620659758196546e-29,1170
all_bL_std,-0.27118240720862735,-0.2708574298373538,4.0349689890551664e-21,1170
all_bnL_kurtosis,0.25290035856430704,0.307346188766436,5.1357058781891195e-27,1170
all_bnL_std,-0.229561795111076,-0.23753551541072584,1.8044069590770086e-16,1170
all_bL_min,-0.14539640250688152,-0.08691079274227441,0.002927402300923714,1170
all_bnL_min,-0.1353921392057479,-0.11138748948777542,0.0001346186571569218,1170
all_bnL_max,-0.09328065968076489,-0.12675572323647924,1.3699088020257455e-05,1170
all_bL_max,-0.09296066750338873,-0.1339942520013036,4.2418974324929384e-06,1170
