,image_name
73,1_E_contrast1.077_sharpness0.8_equalization27.142.jpg
130,6_0_contrast1.077_sharpness0.834_equalization31.292.jpg
248,1_E_contrast1.077_sharpness0.8_equalization27.142.jpg
317,12_9_contrast1.152_sharpness0.984_equalization24.321.jpg
387,23_3_contrast1.171_sharpness0.887_equalization27.833.jpg
555,23_0_contrast1.084_sharpness0.73_equalization27.23.jpg
776,32_B_contrast1.195_sharpness0.827_equalization25.546.jpg
857,23_0_contrast1.09_sharpness0.66_equalization30.813.jpg
922,1_E_contrast1.077_sharpness0.8_equalization27.142.jpg
1080,1_E_contrast1.077_sharpness0.8_equalization27.142.jpg
