,image_name
87,34_I_contrast1.089_gamma1.026_sharpness0.375.jpg
149,37_B_contrast1.156_gamma1.004_sharpness0.351.jpg
262,34_I_contrast1.089_gamma1.026_sharpness0.375.jpg
314,2_C_contrast1.136_gamma0.943_sharpness0.539.jpg
384,5_B_contrast1.084_gamma1.091_sharpness0.463.jpg
542,34_I_contrast1.089_gamma1.026_sharpness0.375.jpg
552,18_P_contrast1.14_gamma0.996_sharpness0.389.jpg
647,15_P_contrast1.068_gamma1.075_sharpness0.632.jpg
769,34_I_contrast1.089_gamma1.026_sharpness0.375.jpg
774,10_I_contrast1.096_gamma1.04_sharpness0.374.jpg
